specialty_name,diagnosis_name,diagnosis_relevance,recommended_drugs,candidate_drug_pairs,avoid_or_low_priority_drugs,evidence_source,top_drug_evidence,treatment_role_evidence,mapping_quality,evidence_interpretation,notes
呼吸,Abscess of lung with pneumonia,primary_specialty_disease,ipratropium-albuterol neb | guaifenesin-codeine phosphate,ipratropium-albuterol neb | guaifenesin-codeine phosphate,acetaminophen | heparin | vancomycin | 0.9% sodium chloride (mini bag plus) | senna,single_specialty_cooccurrence,ipratropium-albuterol neb(2) | guaifenesin-codeine phosphate(1),ipratropium-albuterol neb:disease_directed_therapy | guaifenesin-codeine phosphate:disease_directed_therapy,候选证据充分,单专科住院共现可作为真实世界候选证据，不代表治疗因果或临床指南推荐,已优先保留疾病直接治疗或风险控制药物，支持/通用药物移入低优先级
呼吸,Abscess of lung without pneumonia,primary_specialty_disease,,,clindamycin | ibuprofen | ondansetron | 0.9% sodium chloride (mini bag plus) | acetaminophen,single_specialty_cooccurrence,,,仅保留低优先级方案,单专科住院共现可作为真实世界候选证据，不代表治疗因果或临床指南推荐,当前未识别到明确核心治疗药，仅保留低优先级方案供参考
呼吸,Abscess of mediastinum,cross_specialty_comorbidity,,,,single_specialty_cooccurrence,,,仅用于诊断评估,共现仅提示病例背景或跨专科合并症，不作为治疗因果证据,该诊断不是本专科主要疾病，可用于诊断评估和 MDT 协商背景
呼吸,"Abscess, furuncle and carbuncle of nose",cross_specialty_comorbidity,,,,single_specialty_cooccurrence,,,仅用于诊断评估,共现仅提示病例背景或跨专科合并症，不作为治疗因果证据,该诊断不是本专科主要疾病，可用于诊断评估和 MDT 协商背景
呼吸,Accidental puncture and laceration of a respiratory system organ or structure during other procedure,specialty_related_condition,,,,single_specialty_cooccurrence,,,仅用于诊断评估,共现仅提示病例背景或跨专科合并症，不作为治疗因果证据,该诊断不是本专科主要疾病，可用于诊断评估和 MDT 协商背景
呼吸,Acute and chronic postprocedural respiratory failure,specialty_related_condition,,,,single_specialty_cooccurrence,,,仅用于诊断评估,共现仅提示病例背景或跨专科合并症，不作为治疗因果证据,该诊断不是本专科主要疾病，可用于诊断评估和 MDT 协商背景
呼吸,Acute and chronic respiratory failure with hypercapnia,primary_specialty_disease,guaifenesin | ipratropium-albuterol neb | prednisone | albuterol inhaler | fluticasone-salmeterol diskus (500/50),guaifenesin | ipratropium-albuterol neb,potassium chloride replacement (critical care and oncology) | acetaminophen | potassium chloride | bisacodyl | calcium gluconate,single_specialty_cooccurrence,guaifenesin(3) | ipratropium-albuterol neb(3) | prednisone(3) | albuterol inhaler(2) | fluticasone-salmeterol diskus (500/50)(2),guaifenesin:disease_directed_therapy | ipratropium-albuterol neb:disease_directed_therapy | prednisone:disease_directed_therapy | albuterol inhaler:disease_directed_therapy | fluticasone-salmeterol diskus (500/50):disease_directed_therapy,候选证据充分,单专科住院共现可作为真实世界候选证据，不代表治疗因果或临床指南推荐,已优先保留疾病直接治疗或风险控制药物，支持/通用药物移入低优先级
呼吸,Acute and chronic respiratory failure with hypoxia,primary_specialty_disease,prednisone | albuterol inhaler | ipratropium-albuterol neb | guaifenesin | guaifenesin-codeine phosphate,prednisone | albuterol inhaler,lorazepam | acetaminophen | potassium chloride replacement (critical care and oncology) | morphine sulfate | bisacodyl,single_specialty_cooccurrence,prednisone(10) | albuterol inhaler(7) | ipratropium-albuterol neb(7) | guaifenesin(4) | guaifenesin-codeine phosphate(4),prednisone:disease_directed_therapy | albuterol inhaler:disease_directed_therapy | ipratropium-albuterol neb:disease_directed_therapy | guaifenesin:disease_directed_therapy | guaifenesin-codeine phosphate:disease_directed_therapy,候选证据充分,单专科住院共现可作为真实世界候选证据，不代表治疗因果或临床指南推荐,已优先保留疾病直接治疗或风险控制药物，支持/通用药物移入低优先级
呼吸,"Acute and chronic respiratory failure, unspecified whether with hypoxia or hypercapnia",primary_specialty_disease,methylprednisolone sodium succ | albuterol inhaler | ipratropium-albuterol neb | methylprednisolone | prednisone,methylprednisolone sodium succ | albuterol inhaler,acetaminophen | ramelteon | calcium carbonate | hydroxychloroquine sulfate | influenza vaccine quadrivalent,single_specialty_cooccurrence,methylprednisolone sodium succ(2) | albuterol inhaler(1) | ipratropium-albuterol neb(1) | methylprednisolone(1) | prednisone(1),methylprednisolone sodium succ:disease_directed_therapy | albuterol inhaler:disease_directed_therapy | ipratropium-albuterol neb:disease_directed_therapy | methylprednisolone:disease_directed_therapy | prednisone:disease_directed_therapy,候选证据充分,单专科住院共现可作为真实世界候选证据，不代表治疗因果或临床指南推荐,已优先保留疾病直接治疗或风险控制药物，支持/通用药物移入低优先级
呼吸,Acute bronchiolitis due to respiratory syncytial virus,primary_specialty_disease,albuterol 0.083% neb soln | fluticasone propionate 110mcg | albuterol inhaler | azithromycin | benzonatate,albuterol 0.083% neb soln | fluticasone propionate 110mcg,0.9% sodium chloride (mini bag plus) | acetaminophen | cefepime | bottle | gammagard liquid,single_specialty_cooccurrence,albuterol 0.083% neb soln(4) | fluticasone propionate 110mcg(2) | albuterol inhaler(1) | azithromycin(1) | benzonatate(1),albuterol 0.083% neb soln:disease_directed_therapy | fluticasone propionate 110mcg:disease_directed_therapy | albuterol inhaler:disease_directed_therapy | azithromycin:disease_directed_therapy | benzonatate:disease_directed_therapy,候选证据充分,单专科住院共现可作为真实世界候选证据，不代表治疗因果或临床指南推荐,已优先保留疾病直接治疗或风险控制药物，支持/通用药物移入低优先级
