specialty_name,diagnosis_name,diagnosis_relevance,recommended_drugs,candidate_drug_pairs,avoid_or_low_priority_drugs,evidence_source,top_drug_evidence,treatment_role_evidence,mapping_quality,evidence_interpretation,notes
神经,(Idiopathic) normal pressure hydrocephalus,primary_specialty_disease,,,acetaminophen | heparin | bisacodyl | docusate sodium | lisinopril,single_specialty_cooccurrence,,,仅保留低优先级方案,单专科住院共现可作为真实世界候选证据，不代表治疗因果或临床指南推荐,当前未识别到明确核心治疗药，仅保留低优先级方案供参考
神经,"Abdominal migraine, not intractable",primary_specialty_disease,topiramate (topamax),topiramate (topamax),lorazepam | ondansetron | heparin | hydromorphone (dilaudid) | acetaminophen,single_specialty_cooccurrence,topiramate (topamax)(1),topiramate (topamax):disease_directed_therapy,候选证据充分,单专科住院共现可作为真实世界候选证据，不代表治疗因果或临床指南推荐,已优先保留疾病直接治疗或风险控制药物，支持/通用药物移入低优先级
神经,"Absence epileptic syndrome, intractable, without status epilepticus",primary_specialty_disease,lacosamide | zonisamide | clobazam,lacosamide | zonisamide,potassium chloride | sterile water | magnesium sulfate | ondansetron | acetaminophen,single_specialty_cooccurrence,lacosamide(2) | zonisamide(2) | clobazam(1),lacosamide:disease_directed_therapy | zonisamide:disease_directed_therapy | clobazam:disease_directed_therapy,候选证据充分,单专科住院共现可作为真实世界候选证据，不代表治疗因果或临床指南推荐,已优先保留疾病直接治疗或风险控制药物，支持/通用药物移入低优先级
神经,"Absence epileptic syndrome, not intractable, with status epilepticus",primary_specialty_disease,clobazam,clobazam,lamictal xr | trokendi xr | acetaminophen | heparin | influenza vaccine quadrivalent,single_specialty_cooccurrence,clobazam(6),clobazam:disease_directed_therapy,候选证据充分,单专科住院共现可作为真实世界候选证据，不代表治疗因果或临床指南推荐,已优先保留疾病直接治疗或风险控制药物，支持/通用药物移入低优先级
神经,"Absence epileptic syndrome, not intractable, without status epilepticus",primary_specialty_disease,lamotrigine | lacosamide | levetiracetam | lamotrigine xr,lamotrigine | lacosamide,acetaminophen | citalopram | oxycodone (immediate release) | lorazepam | divalproex (extended release),single_specialty_cooccurrence,lamotrigine(7) | lacosamide(4) | levetiracetam(4) | lamotrigine xr(1),lamotrigine:disease_directed_therapy | lacosamide:disease_directed_therapy | levetiracetam:disease_directed_therapy | lamotrigine xr:disease_directed_therapy,候选证据充分,单专科住院共现可作为真实世界候选证据，不代表治疗因果或临床指南推荐,已优先保留疾病直接治疗或风险控制药物，支持/通用药物移入低优先级
神经,Accidental puncture and laceration of other nervous system organ or structure during other procedure,specialty_related_condition,,,,single_specialty_cooccurrence,,,仅用于诊断评估,共现仅提示病例背景或跨专科合并症，不作为治疗因果证据,该诊断不是本专科主要疾病，可用于诊断评估和 MDT 协商背景
神经,Accidental puncture or laceration of dura during a procedure,specialty_related_condition,,,,single_specialty_cooccurrence,,,仅用于诊断评估,共现仅提示病例背景或跨专科合并症，不作为治疗因果证据,该诊断不是本专科主要疾病，可用于诊断评估和 MDT 协商背景
神经,"Acute disseminated encephalitis and encephalomyelitis, unspecified",primary_specialty_disease,lamotrigine | ropinirole,lamotrigine | ropinirole,heparin | acetaminophen | doxycycline hyclate | lorazepam | nicotine patch,single_specialty_cooccurrence,lamotrigine(2) | ropinirole(2),lamotrigine:disease_directed_therapy | ropinirole:disease_directed_therapy,候选证据充分,单专科住院共现可作为真实世界候选证据，不代表治疗因果或临床指南推荐,已优先保留疾病直接治疗或风险控制药物，支持/通用药物移入低优先级
神经,Acute pain due to trauma,cross_specialty_comorbidity,,,,single_specialty_cooccurrence,,,仅用于诊断评估,共现仅提示病例背景或跨专科合并症，不作为治疗因果证据,该诊断不是本专科主要疾病，可用于诊断评估和 MDT 协商背景
神经,Acute transverse myelitis in demyelinating disease of central nervous system,primary_specialty_disease,gabapentin | lamotrigine,gabapentin | lamotrigine,heparin | acetaminophen | lorazepam | methylprednisolone na suc | senna,single_specialty_cooccurrence,gabapentin(2) | lamotrigine(1),gabapentin:disease_directed_therapy | lamotrigine:disease_directed_therapy,候选证据充分,单专科住院共现可作为真实世界候选证据，不代表治疗因果或临床指南推荐,已优先保留疾病直接治疗或风险控制药物，支持/通用药物移入低优先级
神经,Alcoholic polyneuropathy,primary_specialty_disease,diazepam | pregabalin | diazepam - ciwa protocol | levetiracetam,diazepam | pregabalin,acetaminophen | morphine sulfate | bisacodyl | heparin | hydromorphone (dilaudid),single_specialty_cooccurrence,diazepam(2) | pregabalin(2) | diazepam - ciwa protocol(1) | levetiracetam(1),diazepam:disease_directed_therapy | pregabalin:disease_directed_therapy | diazepam - ciwa protocol:disease_directed_therapy | levetiracetam:disease_directed_therapy,候选证据充分,单专科住院共现可作为真实世界候选证据，不代表治疗因果或临床指南推荐,已优先保留疾病直接治疗或风险控制药物，支持/通用药物移入低优先级
神经,Alzheimer's disease with early onset,primary_specialty_disease,donepezil,donepezil,oxycodone (immediate release) | acetaminophen | docusate sodium | heparin | potassium chloride,single_specialty_cooccurrence,donepezil(4),donepezil:disease_directed_therapy,候选证据充分,单专科住院共现可作为真实世界候选证据，不代表治疗因果或临床指南推荐,已优先保留疾病直接治疗或风险控制药物，支持/通用药物移入低优先级
神经,"Alzheimer's disease, unspecified",primary_specialty_disease,levetiracetam | donepezil | gabapentin | levetiracetam oral solution,levetiracetam | donepezil,acetaminophen | senna | heparin | docusate sodium | potassium chloride,single_specialty_cooccurrence,levetiracetam(11) | donepezil(5) | gabapentin(1) | levetiracetam oral solution(1),levetiracetam:disease_directed_therapy | donepezil:disease_directed_therapy | gabapentin:disease_directed_therapy | levetiracetam oral solution:disease_directed_therapy,候选证据充分,单专科住院共现可作为真实世界候选证据，不代表治疗因果或临床指南推荐,已优先保留疾病直接治疗或风险控制药物，支持/通用药物移入低优先级
神经,Amaurosis fugax,cross_specialty_comorbidity,,,,single_specialty_cooccurrence,,,仅用于诊断评估,共现仅提示病例背景或跨专科合并症，不作为治疗因果证据,该诊断不是本专科主要疾病，可用于诊断评估和 MDT 协商背景
神经,Amyotrophic lateral sclerosis,primary_specialty_disease,gabapentin | baclofen,gabapentin | baclofen,oxycodone (immediate release) | acetaminophen | ibuprofen | docusate sodium | heparin,single_specialty_cooccurrence,gabapentin(2) | baclofen(1),gabapentin:disease_directed_therapy | baclofen:disease_directed_therapy,候选证据充分,单专科住院共现可作为真实世界候选证据，不代表治疗因果或临床指南推荐,已优先保留疾病直接治疗或风险控制药物，支持/通用药物移入低优先级
神经,"Anoxic brain damage, not elsewhere classified",primary_specialty_disease,levetiracetam | midazolam | lacosamide | gabapentin | phenytoin sodium,levetiracetam | midazolam,heparin | oxycodone (immediate release) | acetaminophen | piperacillin-tazobactam | senna,single_specialty_cooccurrence,levetiracetam(10) | midazolam(7) | lacosamide(6) | gabapentin(1) | phenytoin sodium(1),levetiracetam:disease_directed_therapy | midazolam:disease_directed_therapy | lacosamide:disease_directed_therapy | gabapentin:disease_directed_therapy | phenytoin sodium:disease_directed_therapy,候选证据充分,单专科住院共现可作为真实世界候选证据，不代表治疗因果或临床指南推荐,已优先保留疾病直接治疗或风险控制药物，支持/通用药物移入低优先级
神经,Anterior cord syndrome,primary_specialty_disease,,,acetaminophen iv | hydromorphone (dilaudid) | magnesium sulfate | piperacillin-tazobactam | potassium chloride,single_specialty_cooccurrence,,,仅保留低优先级方案,单专科住院共现可作为真实世界候选证据，不代表治疗因果或临床指南推荐,当前未识别到明确核心治疗药，仅保留低优先级方案供参考
神经,Athetoid cerebral palsy,primary_specialty_disease,baclofen,baclofen,diphenhydramine | oxycodone (immediate release) | acetaminophen | aspirin (buffered) | calcium carbonate,single_specialty_cooccurrence,baclofen(3),baclofen:disease_directed_therapy,候选证据充分,单专科住院共现可作为真实世界候选证据，不代表治疗因果或临床指南推荐,已优先保留疾病直接治疗或风险控制药物，支持/通用药物移入低优先级
神经,Atypical facial pain,cross_specialty_comorbidity,,,,single_specialty_cooccurrence,,,仅用于诊断评估,共现仅提示病例背景或跨专科合并症，不作为治疗因果证据,该诊断不是本专科主要疾病，可用于诊断评估和 MDT 协商背景
神经,Autonomic dysreflexia,cross_specialty_comorbidity,,,,single_specialty_cooccurrence,,,仅用于诊断评估,共现仅提示病例背景或跨专科合并症，不作为治疗因果证据,该诊断不是本专科主要疾病，可用于诊断评估和 MDT 协商背景
神经,Autonomic neuropathy in diseases classified elsewhere,primary_specialty_disease,gabapentin,gabapentin,dolutegravir | heparin | ketorolac | acetaminophen | alprazolam,single_specialty_cooccurrence,gabapentin(3),gabapentin:disease_directed_therapy,候选证据充分,单专科住院共现可作为真实世界候选证据，不代表治疗因果或临床指南推荐,已优先保留疾病直接治疗或风险控制药物，支持/通用药物移入低优先级
神经,"Bacterial meningitis, unspecified",primary_specialty_disease,phenytoin infatab | levetiracetam,phenytoin infatab | levetiracetam,haloperidol | acetaminophen | senna | 0.9% sodium chloride (mini bag plus) | calcium carbonate,single_specialty_cooccurrence,phenytoin infatab(5) | levetiracetam(2),phenytoin infatab:disease_directed_therapy | levetiracetam:disease_directed_therapy,候选证据充分,单专科住院共现可作为真实世界候选证据，不代表治疗因果或临床指南推荐,已优先保留疾病直接治疗或风险控制药物，支持/通用药物移入低优先级
神经,Bell's palsy,primary_specialty_disease,levetiracetam | gabapentin | oxcarbazepine | topiramate (topamax) | diazepam,levetiracetam | gabapentin,acetaminophen | prednisone | heparin | docusate sodium | lorazepam,single_specialty_cooccurrence,levetiracetam(10) | gabapentin(3) | oxcarbazepine(3) | topiramate (topamax)(3) | diazepam(2),levetiracetam:disease_directed_therapy | gabapentin:disease_directed_therapy | oxcarbazepine:disease_directed_therapy | topiramate (topamax):disease_directed_therapy | diazepam:disease_directed_therapy,候选证据充分,单专科住院共现可作为真实世界候选证据，不代表治疗因果或临床指南推荐,已优先保留疾病直接治疗或风险控制药物，支持/通用药物移入低优先级
神经,Benign intracranial hypertension,primary_specialty_disease,levetiracetam | diazepam | zonisamide | gabapentin | topiramate (topamax),levetiracetam | diazepam,acetaminophen | docusate sodium | ondansetron | oxycodone (immediate release) | heparin,single_specialty_cooccurrence,levetiracetam(3) | diazepam(2) | zonisamide(2) | gabapentin(1) | topiramate (topamax)(1),levetiracetam:disease_directed_therapy | diazepam:disease_directed_therapy | zonisamide:disease_directed_therapy | gabapentin:disease_directed_therapy | topiramate (topamax):disease_directed_therapy,候选证据充分,单专科住院共现可作为真实世界候选证据，不代表治疗因果或临床指南推荐,已优先保留疾病直接治疗或风险控制药物，支持/通用药物移入低优先级
神经,Benign recurrent meningitis [Mollaret],primary_specialty_disease,,,acyclovir | acetaminophen | acetaminophen-caff-butalbital | hydromorphone (dilaudid) | docusate sodium,single_specialty_cooccurrence,,,仅保留低优先级方案,单专科住院共现可作为真实世界候选证据，不代表治疗因果或临床指南推荐,当前未识别到明确核心治疗药，仅保留低优先级方案供参考
神经,Brachial plexus disorders,cross_specialty_comorbidity,,,,single_specialty_cooccurrence,,,仅用于诊断评估,共现仅提示病例背景或跨专科合并症，不作为治疗因果证据,该诊断不是本专科主要疾病，可用于诊断评估和 MDT 协商背景
神经,Brain death,primary_specialty_disease,,,potassium chloride | phenylephrine | sw | calcium gluconate | chlorhexidine gluconate 0.12% oral rinse,single_specialty_cooccurrence,,,仅保留低优先级方案,单专科住院共现可作为真实世界候选证据，不代表治疗因果或临床指南推荐,当前未识别到明确核心治疗药，仅保留低优先级方案供参考
神经,Brown-Sequard syndrome,cross_specialty_comorbidity,,,,single_specialty_cooccurrence,,,仅用于诊断评估,共现仅提示病例背景或跨专科合并症，不作为治疗因果证据,该诊断不是本专科主要疾病，可用于诊断评估和 MDT 协商背景
神经,"Carpal tunnel syndrome, bilateral upper limbs",cross_specialty_comorbidity,,,,single_specialty_cooccurrence,,,仅用于诊断评估,共现仅提示病例背景或跨专科合并症，不作为治疗因果证据,该诊断不是本专科主要疾病，可用于诊断评估和 MDT 协商背景
神经,"Carpal tunnel syndrome, left upper limb",cross_specialty_comorbidity,,,,single_specialty_cooccurrence,,,仅用于诊断评估,共现仅提示病例背景或跨专科合并症，不作为治疗因果证据,该诊断不是本专科主要疾病，可用于诊断评估和 MDT 协商背景
神经,"Carpal tunnel syndrome, right upper limb",cross_specialty_comorbidity,,,,single_specialty_cooccurrence,,,仅用于诊断评估,共现仅提示病例背景或跨专科合并症，不作为治疗因果证据,该诊断不是本专科主要疾病，可用于诊断评估和 MDT 协商背景
神经,"Carpal tunnel syndrome, unspecified upper limb",cross_specialty_comorbidity,,,,single_specialty_cooccurrence,,,仅用于诊断评估,共现仅提示病例背景或跨专科合并症，不作为治疗因果证据,该诊断不是本专科主要疾病，可用于诊断评估和 MDT 协商背景
神经,Cauda equina syndrome,cross_specialty_comorbidity,,,,single_specialty_cooccurrence,,,仅用于诊断评估,共现仅提示病例背景或跨专科合并症，不作为治疗因果证据,该诊断不是本专科主要疾病，可用于诊断评估和 MDT 协商背景
神经,Causalgia of left upper limb,cross_specialty_comorbidity,,,,single_specialty_cooccurrence,,,仅用于诊断评估,共现仅提示病例背景或跨专科合并症，不作为治疗因果证据,该诊断不是本专科主要疾病，可用于诊断评估和 MDT 协商背景
神经,Causalgia of right upper limb,cross_specialty_comorbidity,,,,single_specialty_cooccurrence,,,仅用于诊断评估,共现仅提示病例背景或跨专科合并症，不作为治疗因果证据,该诊断不是本专科主要疾病，可用于诊断评估和 MDT 协商背景
神经,Central demyelination of corpus callosum,cross_specialty_comorbidity,,,,single_specialty_cooccurrence,,,仅用于诊断评估,共现仅提示病例背景或跨专科合并症，不作为治疗因果证据,该诊断不是本专科主要疾病，可用于诊断评估和 MDT 协商背景
神经,Central pontine myelinolysis,cross_specialty_comorbidity,,,,single_specialty_cooccurrence,,,仅用于诊断评估,共现仅提示病例背景或跨专科合并症，不作为治疗因果证据,该诊断不是本专科主要疾病，可用于诊断评估和 MDT 协商背景
神经,Cerebral cysts,primary_specialty_disease,levetiracetam | lamotrigine | lacosamide | midazolam | amantadine,levetiracetam | lamotrigine,dexamethasone | acetaminophen | heparin | bisacodyl | senna,single_specialty_cooccurrence,levetiracetam(14) | lamotrigine(10) | lacosamide(2) | midazolam(2) | amantadine(1),levetiracetam:disease_directed_therapy | lamotrigine:disease_directed_therapy | lacosamide:disease_directed_therapy | midazolam:disease_directed_therapy | amantadine:disease_directed_therapy,候选证据充分,单专科住院共现可作为真实世界候选证据，不代表治疗因果或临床指南推荐,已优先保留疾病直接治疗或风险控制药物，支持/通用药物移入低优先级
神经,Cerebral edema,primary_specialty_disease,levetiracetam | lacosamide | gabapentin | diazepam | lamotrigine,levetiracetam | lacosamide,dexamethasone | acetaminophen | senna | heparin | oxycodone (immediate release),single_specialty_cooccurrence,levetiracetam(330) | lacosamide(16) | gabapentin(9) | diazepam(7) | lamotrigine(7),levetiracetam:disease_directed_therapy | lacosamide:disease_directed_therapy | gabapentin:disease_directed_therapy | diazepam:disease_directed_therapy | lamotrigine:disease_directed_therapy,候选证据充分,单专科住院共现可作为真实世界候选证据，不代表治疗因果或临床指南推荐,已优先保留疾病直接治疗或风险控制药物，支持/通用药物移入低优先级
