specialty_name,standard_drug_name,drug_name,aliases,drug_class,disease_context,treatment_role,treatment_role_label,order_category,mechanism_or_function,major_cautions,reference_source,reference_url,agent_use
肾内/泌尿,tamsulosin,tamsulosin,flomax,alpha 1 blocker,benign prostatic hyperplasia|urinary retention,disease_directed_therapy,疾病直接治疗,disease_directed,relaxes smooth muscle in prostate and bladder neck,orthostatic hypotension and cataract surgery review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,作为公开药物功能知识进入候选药物解释，仍需结合诊断和风险规则复核
肾内/泌尿,finasteride,finasteride,proscar,5 alpha reductase inhibitor,benign prostatic hyperplasia,disease_directed_therapy,疾病直接治疗,disease_directed,reduces dihydrotestosterone and prostate volume,pregnancy handling and prostate cancer screening review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,作为公开药物功能知识进入候选药物解释，仍需结合诊断和风险规则复核
肾内/泌尿,phenazopyridine,phenazopyridine,,urinary analgesic,dysuria|urinary tract symptoms,supportive_or_symptomatic_therapy,支持/对症服务药物,symptom_support,local urinary tract analgesic for dysuria symptoms,renal impairment and short duration review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,作为公开药物功能知识进入候选药物解释，仍需结合诊断和风险规则复核
肾内/泌尿,ceftriaxone,ceftriaxone,rocephin,cephalosporin antibiotic,urinary tract infection|pyelonephritis,risk_modifying_therapy,风险控制治疗,risk_modifying,beta lactam antibiotic inhibits bacterial cell wall synthesis,allergy biliary and C difficile review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,作为公开药物功能知识进入候选药物解释，仍需结合诊断和风险规则复核
肾内/泌尿,gentamicin,gentamicin,gentamicin sulfate,aminoglycoside antibiotic,urinary tract infection|gram negative infection,risk_modifying_therapy,风险控制治疗,risk_modifying,inhibits bacterial protein synthesis at 30S ribosome,nephrotoxicity ototoxicity and level monitoring review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,作为公开药物功能知识进入候选药物解释，仍需结合诊断和风险规则复核
肾内/泌尿,trimethoprim sulfamethoxazole,trimethoprim sulfamethoxazole,TMP SMX|bactrim,antifolate antibiotic,urinary tract infection|Pneumocystis prophylaxis,risk_modifying_therapy,风险控制治疗,risk_modifying,inhibits sequential folate synthesis in bacteria,renal dose potassium allergy and cytopenia review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,作为公开药物功能知识进入候选药物解释，仍需结合诊断和风险规则复核
肾内/泌尿,nitrofurantoin,nitrofurantoin,macrobid,nitrofuran antibiotic,lower urinary tract infection,risk_modifying_therapy,风险控制治疗,risk_modifying,bacterial nitrofuran reduction damages DNA and ribosomal proteins,avoid with poor renal function and pulmonary toxicity review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,作为公开药物功能知识进入候选药物解释，仍需结合诊断和风险规则复核
肾内/泌尿,calcium carbonate,calcium carbonate,,phosphate binder,chronic kidney disease mineral bone disorder|phosphate binder,disease_directed_therapy,疾病直接治疗,disease_directed,binds dietary phosphate and provides calcium,hypercalcemia constipation and vascular calcification review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,作为公开药物功能知识进入候选药物解释，仍需结合诊断和风险规则复核
肾内/泌尿,sevelamer,sevelamer,renvela|renagel,non calcium phosphate binder,chronic kidney disease mineral bone disorder|hyperphosphatemia,disease_directed_therapy,疾病直接治疗,disease_directed,binds phosphate in gastrointestinal tract,GI obstruction and tablet burden review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,作为公开药物功能知识进入候选药物解释，仍需结合诊断和风险规则复核
肾内/泌尿,calcitriol,calcitriol,,active vitamin D,chronic kidney disease mineral bone disorder|secondary hyperparathyroidism,disease_directed_therapy,疾病直接治疗,disease_directed,active vitamin D receptor agonist increases calcium absorption,hypercalcemia hyperphosphatemia review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,作为公开药物功能知识进入候选药物解释，仍需结合诊断和风险规则复核
肾内/泌尿,sodium bicarbonate,sodium bicarbonate,,alkalinizing agent,metabolic acidosis|chronic kidney disease,risk_modifying_therapy,风险控制治疗,risk_modifying,provides bicarbonate buffer to correct metabolic acidosis,sodium load volume overload and alkalosis review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,作为公开药物功能知识进入候选药物解释，仍需结合诊断和风险规则复核
肾内/泌尿,sodium polystyrene sulfonate,sodium polystyrene sulfonate,kayexalate,potassium binder,hyperkalemia,risk_modifying_therapy,风险控制治疗,risk_modifying,exchanges sodium for potassium in gut to reduce potassium,GI necrosis sodium load and constipation review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,作为公开药物功能知识进入候选药物解释，仍需结合诊断和风险规则复核
