specialty_name,rule_id,risk_target,related_treatments,lab_name,lab_purpose,threshold_type,moderate_low,moderate_high,moderate_value,moderate_operator,high_low,high_high,high_value,high_operator,unit,risk_message,moderate_action,high_action,contraindication_or_caution,monitoring_advice,reference_source,reference_url,threshold_basis
心血管,cardiology_potassium_arrhythmia_risk,electrolyte related arrhythmia,diuretics|ACE inhibitors|ARB|spironolactone|antiarrhythmics,potassium_24h,评估影响心律和容量治疗的血钾风险,range,3.5,5.0,,,3.0,5.5,,,"mmol/L",血钾异常会增加心律失常传导异常和相关药物不稳定风险,对影响血钾或心律的候选治疗降权并提示复核,标记为高电解质风险并建议先纠正血钾后再强化方案,慎用升钾或降钾治疗并复核肾功能和心电图,复查血钾心电图肌酐和用药清单,KDIGO potassium management; DailyMed labels,https://kdigo.org,参考 KDIGO 钾紊乱管理和常用血钾安全范围
心血管,cardiology_antithrombotic_bleeding_risk,bleeding risk,anticoagulants|antiplatelets|thrombolytics,inr_24h,评估抗凝抗血小板或溶栓治疗相关出血风险,upper_bound,,,1.5,>,,,2.0,>,"",INR 升高提示凝血功能异常且强化抗栓治疗出血风险增加,对抗凝抗血小板或溶栓相关方案降权并提示人工复核,暂停优先推荐强化抗栓方案并标记为高出血风险,避免未复核情况下联合强化抗凝抗血小板或溶栓,复查 INR 血红蛋白血小板和出血体征,DailyMed anticoagulant labels; AHA ACC antithrombotic references,https://dailymed.nlm.nih.gov/dailymed,参考抗凝药品说明书和临床常用凝血风险阈值
心血管,cardiology_renal_hemodynamic_risk,renal hemodynamic risk,ACE inhibitors|ARB|diuretics|contrast exposure,creatinine_24h,评估心血管治疗中的肾功能和血流动力学风险,upper_bound,,,1.5,>=,,,2.5,>=,"mg/dL",肌酐升高时 ACEI ARB 利尿剂或造影相关治疗需注意肾灌注和药物蓄积,降低肾功能敏感治疗优先级并提示剂量和容量复核,标记为高肾功能风险并建议避免不必要肾毒性或造影暴露,慎用肾功能依赖药物并结合容量状态调整,监测肌酐尿量血压和电解质,KDIGO CKD guideline; DailyMed renal warnings,https://kdigo.org,参考 KDIGO 肾功能管理和药品说明书肾功能警示
心血管,cardiology_metabolic_steroid_or_beta_blocker_risk,glycemic cardiovascular context,beta blockers|systemic corticosteroids|dextrose fluids,glucose_24h,评估心血管治疗中血糖异常对方案适配性的影响,bidirectional,70,180,,,54,250,,,"mg/dL",血糖显著异常会影响感染应激和心血管药物安全解释,提示复核降糖和可能掩盖低血糖症状的药物,标记为高代谢风险并优先修正血糖后再排序方案,β受体阻滞剂可能掩盖低血糖症状且激素可升高血糖,监测床旁血糖进食状态和低血糖症状,ADA Standards of Care; DailyMed beta blocker labels,https://diabetesjournals.org/care,参考 ADA 住院血糖目标和药品说明书风险
神经,neurology_intracranial_bleeding_risk,intracranial bleeding risk,anticoagulants|antiplatelets|thrombolytics,inr_24h,评估颅内出血扩展和神经介入相关出血风险,upper_bound,,,1.5,>,,,2.0,>,"",INR 升高时颅内出血扩展或侵袭性神经操作相关出血风险增加,对抗凝抗血小板和侵袭性治疗方案降权,标记为高出血风险并暂停优先推荐相关方案,神经系统出血风险未排除前慎用强化抗栓治疗,复查 INR 头颅影像和神经功能变化,DailyMed anticoagulant labels; AHA ASA stroke references,https://www.stroke.org,参考抗凝药物说明书和神经系统出血风险控制阈值
神经,neurology_sodium_seizure_cerebral_edema_risk,neurologic electrolyte risk,diuretics|hypotonic fluids|antiepileptics|desmopressin,sodium_24h,评估意识状态癫痫阈值和脑水肿相关风险,range,135,145,,,130,150,,,"mmol/L",钠异常可能诱发意识障碍癫痫阈值改变或脑水肿风险上升,降低可能加重水钠紊乱治疗的优先级,标记为高神经电解质风险并建议先纠正钠异常,避免过快纠正血钠并慎用影响水钠平衡的药物,监测血钠纠正速度尿量和神经症状,MedlinePlus sodium test; Merck Manual electrolyte disorders,https://medlineplus.gov/lab-tests/sodium-blood-test,参考公开血钠参考范围和神经系统风险解释
神经,neurology_sedation_respiratory_risk,sedation and encephalopathy risk,opioids|benzodiazepines|gabapentin|baclofen,bun_24h,评估尿毒症或代谢负荷背景下镇静药物风险,upper_bound,,,25,>=,,,40,>=,"mg/dL",BUN 升高可能提示代谢负荷或肾功能问题并增加镇静药物蓄积和意识改变风险,对镇静抗痉挛或神经病理痛药物提示剂量复核,标记为高代谢性脑病风险并建议保守使用镇静药物,避免多种镇静药叠加并复核肾功能剂量,监测意识呼吸频率BUN肌酐和跌倒风险,DailyMed CNS depressant labels; Merck Manual uremia references,https://dailymed.nlm.nih.gov/dailymed,参考中枢抑制药说明书和尿毒症风险解释
神经,neurology_glucose_mimic_stroke_risk,stroke mimic and seizure metabolic risk,insulin|dextrose fluids|systemic corticosteroids,glucose_24h,评估血糖异常对卒中样症状癫痫和意识状态的影响,bidirectional,70,180,,,54,250,,,"mg/dL",低血糖或严重高血糖可造成神经症状并影响卒中或癫痫判断,提示先复核血糖并调整相关治疗排序,标记为高代谢风险并建议先纠正血糖异常,避免未评估血糖时解释神经症状或强化降糖治疗,监测床旁血糖神经体征和酮体,ADA Standards of Care; AHA ASA stroke guidance,https://diabetesjournals.org/care,参考 ADA 血糖目标和卒中鉴别诊断要求
呼吸,respiratory_beta_agonist_potassium_risk,bronchodilator electrolyte risk,beta agonists|diuretics|electrolyte replacement,potassium_24h,评估支气管扩张和利尿治疗中的血钾风险,range,3.5,5.0,,,3.0,5.5,,,"mmol/L",钾异常可能影响呼吸肌收缩心肺稳定性和β受体激动剂安全性,降低可能加重钾异常治疗的优先级并提示复核,标记为高呼吸电解质风险并建议先纠正电解质,使用大剂量β受体激动剂或利尿剂时需复核血钾,监测血钾心率心电图和呼吸状态,KDIGO potassium management; DailyMed beta agonist labels,https://dailymed.nlm.nih.gov/dailymed,参考血钾范围和支气管扩张剂说明书风险
呼吸,respiratory_steroid_glucose_risk,steroid metabolic risk,systemic corticosteroids|infection treatment|dextrose fluids,glucose_24h,评估感染激素治疗和代谢失衡风险,bidirectional,70,180,,,54,250,,,"mg/dL",血糖过高或过低均会增加感染控制和全身代谢稳定风险,对增加糖代谢负担的方案降权并提示复核血糖管理,标记为高代谢风险并暂停优先推荐高糖代谢负担方案,系统激素或含糖补液治疗前需评估血糖风险,监测床旁血糖感染指标和低血糖症状,ADA Standards of Care; DailyMed corticosteroid labels,https://diabetesjournals.org/care,参考 ADA 住院血糖管理目标和激素治疗风险
