specialty_name,standard_drug_name,drug_name,aliases,drug_class,disease_context,treatment_role,treatment_role_label,order_category,mechanism_or_function,major_cautions,reference_source,reference_url,agent_use
内分泌/代谢,insulin,insulin,regular insulin|insulin lispro|insulin glargine|insulin aspart,insulin,diabetes|hyperglycemia|diabetic ketoacidosis,disease_directed_therapy,疾病直接治疗,disease_directed,replaces or supplements insulin to reduce blood glucose,hypoglycemia potassium and nutrition status review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,作为公开药物功能知识进入候选药物解释，仍需结合诊断和风险规则复核
内分泌/代谢,metformin,metformin,,biguanide,type 2 diabetes|insulin resistance,disease_directed_therapy,疾病直接治疗,disease_directed,reduces hepatic glucose production and improves insulin sensitivity,renal function hypoxia contrast and lactic acidosis risk review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,作为公开药物功能知识进入候选药物解释，仍需结合诊断和风险规则复核
内分泌/代谢,glipizide,glipizide,,sulfonylurea,type 2 diabetes,disease_directed_therapy,疾病直接治疗,disease_directed,stimulates pancreatic insulin secretion,hypoglycemia renal nutrition and elderly risk review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,作为公开药物功能知识进入候选药物解释，仍需结合诊断和风险规则复核
内分泌/代谢,levothyroxine,levothyroxine,levothyroxine sodium|synthroid,thyroid hormone,hypothyroidism,disease_directed_therapy,疾病直接治疗,disease_directed,replaces thyroxine hormone,cardiac ischemia arrhythmia and dosing review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,作为公开药物功能知识进入候选药物解释，仍需结合诊断和风险规则复核
内分泌/代谢,methimazole,methimazole,,antithyroid drug,hyperthyroidism|thyrotoxicosis,disease_directed_therapy,疾病直接治疗,disease_directed,inhibits thyroid hormone synthesis through thyroid peroxidase blockade,agranulocytosis liver injury and pregnancy review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,作为公开药物功能知识进入候选药物解释，仍需结合诊断和风险规则复核
内分泌/代谢,propylthiouracil,propylthiouracil,PTU,antithyroid drug,thyroid storm|hyperthyroidism,disease_directed_therapy,疾病直接治疗,disease_directed,inhibits thyroid hormone synthesis and peripheral T4 to T3 conversion,severe liver injury and blood count review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,作为公开药物功能知识进入候选药物解释，仍需结合诊断和风险规则复核
内分泌/代谢,hydrocortisone,hydrocortisone,,glucocorticoid,adrenal insufficiency|steroid replacement|adrenal crisis,disease_directed_therapy,疾病直接治疗,disease_directed,replaces cortisol and supports stress response,glucose infection delirium and GI bleeding review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,作为公开药物功能知识进入候选药物解释，仍需结合诊断和风险规则复核
内分泌/代谢,dexamethasone,dexamethasone,,glucocorticoid,adrenal testing|cerebral edema|inflammatory disease,risk_modifying_therapy,风险控制治疗,risk_modifying,potent glucocorticoid suppresses inflammation and adrenal axis,hyperglycemia infection delirium and myopathy review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,作为公开药物功能知识进入候选药物解释，仍需结合诊断和风险规则复核
内分泌/代谢,desmopressin,desmopressin,ddavp,vasopressin analog,diabetes insipidus|nocturia|hyponatremia risk context,disease_directed_therapy,疾病直接治疗,disease_directed,V2 receptor agonist increases renal water reabsorption,hyponatremia fluid restriction and sodium monitoring review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,作为公开药物功能知识进入候选药物解释，仍需结合诊断和风险规则复核
内分泌/代谢,calcium gluconate,calcium gluconate,,calcium salt,hypocalcemia|hyperkalemia cardiac membrane stabilization,risk_modifying_therapy,风险控制治疗,risk_modifying,provides calcium and stabilizes cardiac membrane in hyperkalemia,extravasation calcium level and digoxin caution review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,作为公开药物功能知识进入候选药物解释，仍需结合诊断和风险规则复核
内分泌/代谢,vitamin d,vitamin d,cholecalciferol|ergocalciferol,vitamin supplement,vitamin deficiency|bone metabolism|hypocalcemia,supportive_or_symptomatic_therapy,支持/对症服务药物,symptom_support,supplements vitamin D to support calcium metabolism,hypercalcemia renal stones and dose review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,作为公开药物功能知识进入候选药物解释，仍需结合诊断和风险规则复核
内分泌/代谢,alendronate,alendronate,fosamax,bisphosphonate,osteoporosis|bone metabolism,disease_directed_therapy,疾病直接治疗,disease_directed,inhibits osteoclast mediated bone resorption,esophageal irritation renal function and hypocalcemia review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,作为公开药物功能知识进入候选药物解释，仍需结合诊断和风险规则复核
内分泌/代谢,glucagon,glucagon,,counter regulatory hormone,severe hypoglycemia,risk_modifying_therapy,风险控制治疗,risk_modifying,raises glucose through hepatic glycogenolysis and gluconeogenesis,nausea glycogen depletion and insulinoma context review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,作为公开药物功能知识进入候选药物解释，仍需结合诊断和风险规则复核
