specialty_name,standard_drug_name,drug_name,aliases,drug_class,disease_context,treatment_role,treatment_role_label,order_category,mechanism_or_function,major_cautions,reference_source,reference_url,agent_use
呼吸,albuterol,albuterol,salbutamol|albuterol sulfate,short acting beta agonist,asthma|COPD|bronchospasm,disease_directed_therapy,疾病直接治疗,disease_directed,stimulates beta 2 receptors to relax bronchial smooth muscle,tachycardia tremor and potassium review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,作为公开药物功能知识进入候选药物解释，仍需结合诊断和风险规则复核
呼吸,ipratropium,ipratropium,atrovent,short acting muscarinic antagonist,COPD|bronchospasm,disease_directed_therapy,疾病直接治疗,disease_directed,blocks muscarinic receptors to reduce bronchoconstriction,glaucoma urinary retention and anticholinergic burden review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,作为公开药物功能知识进入候选药物解释，仍需结合诊断和风险规则复核
呼吸,tiotropium,tiotropium,spiriva,long acting muscarinic antagonist,COPD,disease_directed_therapy,疾病直接治疗,disease_directed,long acting muscarinic blockade for maintenance bronchodilation,urinary retention glaucoma and anticholinergic burden review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,作为公开药物功能知识进入候选药物解释，仍需结合诊断和风险规则复核
呼吸,budesonide,budesonide,formoterol budesonide|pulmicort,inhaled corticosteroid,asthma|COPD,disease_directed_therapy,疾病直接治疗,disease_directed,reduces airway inflammation through glucocorticoid receptor effect,pneumonia thrush and systemic steroid exposure review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,作为公开药物功能知识进入候选药物解释，仍需结合诊断和风险规则复核
呼吸,fluticasone,fluticasone,,inhaled corticosteroid,asthma|COPD,disease_directed_therapy,疾病直接治疗,disease_directed,reduces airway inflammation and exacerbation risk,oral candidiasis pneumonia and adrenal suppression review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,作为公开药物功能知识进入候选药物解释，仍需结合诊断和风险规则复核
呼吸,prednisone,prednisone,,systemic corticosteroid,asthma exacerbation|COPD exacerbation|inflammatory lung disease,risk_modifying_therapy,风险控制治疗,risk_modifying,systemic glucocorticoid reduces airway inflammation,glucose infection GI bleeding and delirium review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,作为公开药物功能知识进入候选药物解释，仍需结合诊断和风险规则复核
呼吸,methylprednisolone,methylprednisolone,methylpred|solu medrol,systemic corticosteroid,asthma exacerbation|COPD exacerbation|ARDS inflammation,risk_modifying_therapy,风险控制治疗,risk_modifying,systemic glucocorticoid with anti inflammatory effect,glucose infection GI bleeding and delirium review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,作为公开药物功能知识进入候选药物解释，仍需结合诊断和风险规则复核
呼吸,azithromycin,azithromycin,zithromax,macrolide antibiotic,pneumonia|COPD exacerbation,risk_modifying_therapy,风险控制治疗,risk_modifying,inhibits bacterial protein synthesis through 50S ribosomal binding,QT interaction and liver review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,作为公开药物功能知识进入候选药物解释，仍需结合诊断和风险规则复核
呼吸,ceftriaxone,ceftriaxone,rocephin,cephalosporin antibiotic,pneumonia|sepsis|bacterial infection,risk_modifying_therapy,风险控制治疗,risk_modifying,beta lactam antibiotic inhibits bacterial cell wall synthesis,biliary sludging allergy and C difficile review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,作为公开药物功能知识进入候选药物解释，仍需结合诊断和风险规则复核
呼吸,piperacillin tazobactam,piperacillin tazobactam,zosyn,broad spectrum beta lactam,pneumonia|aspiration pneumonia|sepsis,risk_modifying_therapy,风险控制治疗,risk_modifying,antipseudomonal penicillin plus beta lactamase inhibitor,renal dose sodium load allergy and C difficile review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,作为公开药物功能知识进入候选药物解释，仍需结合诊断和风险规则复核
呼吸,vancomycin,vancomycin,,glycopeptide antibiotic,MRSA pneumonia|severe gram positive infection,risk_modifying_therapy,风险控制治疗,risk_modifying,inhibits gram positive bacterial cell wall synthesis,renal toxicity level monitoring and infusion reaction review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,作为公开药物功能知识进入候选药物解释，仍需结合诊断和风险规则复核
呼吸,furosemide,furosemide,lasix,loop diuretic,pulmonary edema|heart failure with dyspnea,risk_modifying_therapy,风险控制治疗,risk_modifying,promotes diuresis and reduces congestion,electrolyte renal and volume review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,作为公开药物功能知识进入候选药物解释，仍需结合诊断和风险规则复核
呼吸,oseltamivir,oseltamivir,tamiflu,neuraminidase inhibitor,influenza pneumonia|influenza infection,disease_directed_therapy,疾病直接治疗,disease_directed,inhibits influenza neuraminidase and viral release,renal dose neuropsychiatric and timing review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,作为公开药物功能知识进入候选药物解释，仍需结合诊断和风险规则复核
