specialty_name,diagnosis_name,recommended_drugs,candidate_drug_pairs,avoid_or_low_priority_drugs,evidence_source,top_drug_evidence,mapping_quality,notes
心血管,"Abdominal aortic aneurysm, ruptured",,,bisacodyl | hydromorphone | hydromorphone (dilaudid) | lidocaine 5% patch | lorazepam,single_specialty_cooccurrence,,仅保留低优先级方案,当前未识别到明确核心治疗药，仅保留低优先级方案供参考
心血管,"Abdominal aortic aneurysm, without rupture",metoprolol tartrate | heparin | warfarin | atorvastatin | hydralazine,metoprolol tartrate | heparin,acetaminophen | senna | docusate sodium | oxycodone (immediate release) | hydromorphone (dilaudid),single_specialty_cooccurrence,metoprolol tartrate(39) | heparin(36) | warfarin(25) | atorvastatin(22) | hydralazine(21),可直接使用,已优先保留核心治疗药，支持治疗药和通用辅助药移入低优先级
心血管,Abdominal aortic ectasia,hydralazine | heparin | lisinopril,hydralazine | heparin,dexamethasone | famotidine | acetaminophen | bisacodyl | dextrose 50%,single_specialty_cooccurrence,hydralazine(8) | heparin(4) | lisinopril(2),可直接使用,已优先保留核心治疗药，支持治疗药和通用辅助药移入低优先级
心血管,Accidental puncture and laceration of a circulatory system organ or structure during a circulatory system procedure,,,,single_specialty_cooccurrence,,背景共病,该诊断被标记为背景共病，不作为专科核心推荐依据
心血管,Accidental puncture and laceration of a circulatory system organ or structure during other procedure,,,,single_specialty_cooccurrence,,背景共病,该诊断被标记为背景共病，不作为专科核心推荐依据
心血管,"Acute and subacute endocarditis, unspecified",heparin,heparin,magnesium sulfate | acetaminophen iv | hydromorphone (dilaudid) | potassium chloride | pantoprazole,single_specialty_cooccurrence,heparin(4),可直接使用,已优先保留核心治疗药，支持治疗药和通用辅助药移入低优先级
心血管,Acute and subacute infective endocarditis,warfarin | heparin | metoprolol tartrate | furosemide | heparin sodium,warfarin | heparin,acetaminophen | vancomycin | methadone | potassium chloride | heparin flush (10 units/ml),single_specialty_cooccurrence,warfarin(37) | heparin(36) | metoprolol tartrate(19) | furosemide(18) | heparin sodium(9),可直接使用,已优先保留核心治疗药，支持治疗药和通用辅助药移入低优先级
心血管,Acute combined systolic (congestive) and diastolic (congestive) heart failure,captopril | amiodarone | carvedilol | aspirin | atorvastatin,captopril | amiodarone,acetaminophen | magnesium sulfate | potassium chloride | potassium chloride replacement (critical care and oncology) | 0.45% sodium chloride,single_specialty_cooccurrence,captopril(13) | amiodarone(6) | carvedilol(4) | aspirin(3) | atorvastatin(2),可直接使用,已优先保留核心治疗药，支持治疗药和通用辅助药移入低优先级
心血管,Acute coronary thrombosis not resulting in myocardial infarction,warfarin | lisinopril | metoprolol tartrate | heparin | aspirin,warfarin | lisinopril,potassium chloride | acetaminophen | docusate sodium | potassium chloride replacement (critical care and oncology) | senna,single_specialty_cooccurrence,warfarin(19) | lisinopril(14) | metoprolol tartrate(11) | heparin(9) | aspirin(8),可直接使用,已优先保留核心治疗药，支持治疗药和通用辅助药移入低优先级
心血管,Acute diastolic (congestive) heart failure,furosemide | heparin | metoprolol tartrate | lisinopril | apixaban,furosemide | heparin,potassium chloride | acetaminophen | docusate sodium | magnesium oxide | senna,single_specialty_cooccurrence,furosemide(31) | heparin(9) | metoprolol tartrate(9) | lisinopril(6) | apixaban(5),可直接使用,已优先保留核心治疗药，支持治疗药和通用辅助药移入低优先级
