specialty_name,standard_drug_name,drug_name,aliases,drug_class,disease_context,treatment_role,treatment_role_label,order_category,mechanism_or_function,major_cautions,reference_source,reference_url,agent_use
神经,levetiracetam,levetiracetam,keppra,antiepileptic,seizure|epilepsy|status epilepticus,disease_directed_therapy,疾病直接治疗,disease_directed,modulates synaptic vesicle protein SV2A to reduce seizure activity,renal dose and behavioral adverse effect review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,作为公开药物功能知识进入候选药物解释，仍需结合诊断和风险规则复核
神经,phenytoin,phenytoin,dilantin,antiepileptic,seizure|epilepsy|status epilepticus,disease_directed_therapy,疾病直接治疗,disease_directed,blocks voltage gated sodium channels to stabilize neuronal membranes,drug level interaction hepatic and rash review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,作为公开药物功能知识进入候选药物解释，仍需结合诊断和风险规则复核
神经,lacosamide,lacosamide,vimpat,antiepileptic,seizure|epilepsy,disease_directed_therapy,疾病直接治疗,disease_directed,enhances slow inactivation of voltage gated sodium channels,PR interval cardiac conduction and dizziness review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,作为公开药物功能知识进入候选药物解释，仍需结合诊断和风险规则复核
神经,lamotrigine,lamotrigine,lamictal|lamotrig,antiepileptic,seizure|epilepsy|bipolar disorder,disease_directed_therapy,疾病直接治疗,disease_directed,inhibits sodium channels and reduces glutamate release,serious rash and titration review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,作为公开药物功能知识进入候选药物解释，仍需结合诊断和风险规则复核
神经,topiramate,topiramate,topamax,antiepileptic,seizure|epilepsy|migraine,disease_directed_therapy,疾病直接治疗,disease_directed,modulates sodium channels GABA and glutamate activity,renal stones acidosis cognitive adverse effect review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,作为公开药物功能知识进入候选药物解释，仍需结合诊断和风险规则复核
神经,valproate,valproate,valproic acid|divalproex,antiepileptic,seizure|epilepsy|migraine,disease_directed_therapy,疾病直接治疗,disease_directed,increases GABA activity and broad antiseizure effect,liver platelet pregnancy and ammonia review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,作为公开药物功能知识进入候选药物解释，仍需结合诊断和风险规则复核
神经,gabapentin,gabapentin,neurontin,neuropathic pain agent,neuropathic pain|seizure,risk_modifying_therapy,风险控制治疗,risk_modifying,binds alpha 2 delta calcium channel subunit to reduce neuropathic signaling,renal dose sedation and fall risk review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,作为公开药物功能知识进入候选药物解释，仍需结合诊断和风险规则复核
神经,baclofen,baclofen,,antispasticity agent,spasticity|multiple sclerosis|spinal cord disease,risk_modifying_therapy,风险控制治疗,risk_modifying,GABA B agonist reduces spinal excitatory transmission,sedation renal dose and withdrawal review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,作为公开药物功能知识进入候选药物解释，仍需结合诊断和风险规则复核
神经,donepezil,donepezil,aricept,cholinesterase inhibitor,dementia|alzheimer disease,disease_directed_therapy,疾病直接治疗,disease_directed,inhibits acetylcholinesterase to improve cholinergic signaling,bradycardia syncope and GI adverse effect review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,作为公开药物功能知识进入候选药物解释，仍需结合诊断和风险规则复核
神经,carbidopa levodopa,carbidopa levodopa,sinemet|levodopa,dopaminergic agent,parkinson disease,disease_directed_therapy,疾病直接治疗,disease_directed,replaces dopamine precursor while reducing peripheral metabolism,orthostasis hallucination dyskinesia review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,作为公开药物功能知识进入候选药物解释，仍需结合诊断和风险规则复核
神经,alteplase,alteplase,tPA|rtPA,thrombolytic,acute ischemic stroke|pulmonary embolism,disease_directed_therapy,疾病直接治疗,disease_directed,converts plasminogen to plasmin and dissolves fibrin clot,strict bleeding contraindication and time window review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,作为公开药物功能知识进入候选药物解释，仍需结合诊断和风险规则复核
神经,mannitol,mannitol,,osmotic agent,cerebral edema|intracranial hypertension,risk_modifying_therapy,风险控制治疗,risk_modifying,increases plasma osmolality to reduce cerebral edema,renal function serum osmolality and volume status review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,作为公开药物功能知识进入候选药物解释，仍需结合诊断和风险规则复核
神经,memantine,memantine,namenda,NMDA receptor antagonist,dementia|alzheimer disease,disease_directed_therapy,疾病直接治疗,disease_directed,modulates glutamatergic NMDA receptor activity,renal dose dizziness and confusion review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,作为公开药物功能知识进入候选药物解释，仍需结合诊断和风险规则复核
神经,sumatriptan,sumatriptan,imitrex,triptan,migraine,disease_directed_therapy,疾病直接治疗,disease_directed,5 HT1B 1D agonist causing cranial vasoconstriction and trigeminal inhibition,coronary disease stroke and serotonin syndrome review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,作为公开药物功能知识进入候选药物解释，仍需结合诊断和风险规则复核
神经,carbamazepine,carbamazepine,tegretol,antiepileptic,trigeminal neuralgia|seizure|epilepsy,disease_directed_therapy,疾病直接治疗,disease_directed,blocks voltage gated sodium channels to reduce neuronal firing,hyponatremia drug interaction blood count and rash review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,作为公开药物功能知识进入候选药物解释，仍需结合诊断和风险规则复核
神经,oxcarbazepine,oxcarbazepine,trileptal,antiepileptic,seizure|trigeminal neuralgia,disease_directed_therapy,疾病直接治疗,disease_directed,sodium channel blockade reduces neuronal excitability,hyponatremia rash and interaction review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,作为公开药物功能知识进入候选药物解释，仍需结合诊断和风险规则复核
神经,pregabalin,pregabalin,lyrica,neuropathic pain agent,neuropathic pain|seizure adjunct,risk_modifying_therapy,风险控制治疗,risk_modifying,binds alpha 2 delta calcium channel subunit to reduce neuropathic signaling,renal dose sedation edema and fall risk review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,作为公开药物功能知识进入候选药物解释，仍需结合诊断和风险规则复核
神经,duloxetine,duloxetine,cymbalta,SNRI,neuropathic pain|depression|chronic pain,risk_modifying_therapy,风险控制治疗,risk_modifying,serotonin norepinephrine reuptake inhibition modulates pain pathways,liver serotonin syndrome blood pressure and renal review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,作为公开药物功能知识进入候选药物解释，仍需结合诊断和风险规则复核
神经,amitriptyline,amitriptyline,,tricyclic antidepressant,neuropathic pain|migraine prophylaxis,risk_modifying_therapy,风险控制治疗,risk_modifying,inhibits serotonin and norepinephrine reuptake with anticholinergic effects,QT anticholinergic delirium and overdose risk review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,作为公开药物功能知识进入候选药物解释，仍需结合诊断和风险规则复核
神经,clonazepam,clonazepam,klonopin,benzodiazepine,seizure|myoclonus|anxiety,risk_modifying_therapy,风险控制治疗,risk_modifying,GABA A positive allosteric modulation reduces neuronal excitability,sedation respiratory depression delirium and dependence review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,作为公开药物功能知识进入候选药物解释，仍需结合诊断和风险规则复核
神经,midazolam,midazolam,versed,benzodiazepine,status epilepticus|procedural sedation,risk_modifying_therapy,风险控制治疗,risk_modifying,GABA A positive allosteric modulation for acute seizure control,respiratory depression hypotension and sedation monitoring review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,作为公开药物功能知识进入候选药物解释，仍需结合诊断和风险规则复核
神经,rasagiline,rasagiline,azilect,MAO B inhibitor,parkinson disease,disease_directed_therapy,疾病直接治疗,disease_directed,inhibits monoamine oxidase B to increase dopamine signaling,serotonin syndrome tyramine and interaction review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,作为公开药物功能知识进入候选药物解释，仍需结合诊断和风险规则复核
神经,pramipexole,pramipexole,mirapex,dopamine agonist,parkinson disease|restless legs,disease_directed_therapy,疾病直接治疗,disease_directed,dopamine receptor agonist improves motor symptoms,orthostasis hallucination impulse control and renal dose review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,作为公开药物功能知识进入候选药物解释，仍需结合诊断和风险规则复核
