standard_drug_name,aliases,drug_class,treatment_role,supportive_category,mechanism_or_function,major_cautions,reference_source,reference_url,reference_note
acetaminophen,paracetamol|acetaminophen iv,analgesic antipyretic,supportive_or_symptomatic_therapy,analgesic_antipyretic,central analgesic and antipyretic effect,liver dose and alcohol use review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,common antipyretic and analgesic supportive medication
ibuprofen,,NSAID,supportive_or_symptomatic_therapy,analgesic_antipyretic,inhibits cyclooxygenase and prostaglandin synthesis,renal bleeding heart failure and GI risk review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,nonsteroidal anti inflammatory supportive medication
ketorolac,,NSAID,supportive_or_symptomatic_therapy,analgesic_antipyretic,potent short term NSAID analgesic,renal bleeding GI ulcer and duration review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,nonsteroidal analgesic supportive medication
morphine,morphine sulfate,opioid analgesic,supportive_or_symptomatic_therapy,pain_control,mu opioid receptor agonist for severe pain,respiratory depression delirium renal and constipation review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,opioid analgesic supportive medication
hydromorphone,hydromorphone dilaudid|dilaudid,opioid analgesic,supportive_or_symptomatic_therapy,pain_control,mu opioid receptor agonist for severe pain,respiratory depression delirium renal and constipation review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,opioid analgesic supportive medication
oxycodone,oxycodone immediate release,opioid analgesic,supportive_or_symptomatic_therapy,pain_control,mu opioid receptor agonist for moderate to severe pain,respiratory depression delirium and constipation review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,opioid analgesic supportive medication
tramadol,ultram,opioid analgesic,supportive_or_symptomatic_therapy,pain_control,weak mu agonist and monoamine reuptake inhibition,seizure serotonin syndrome renal and delirium review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,analgesic supportive medication requiring interaction review
lorazepam,ativan,benzodiazepine,supportive_or_symptomatic_therapy,anxiolytic_sedative,GABA A positive allosteric modulator,respiratory depression delirium fall and hepatic context review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,sedative or anxiolytic supportive medication
haloperidol,,antipsychotic,supportive_or_symptomatic_therapy,agitation_delirium,D2 receptor antagonist for agitation or delirium,QT extrapyramidal and Parkinson disease review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,delirium or agitation supportive medication
ondansetron,zofran,antiemetic,supportive_or_symptomatic_therapy,antiemetic,5 HT3 receptor antagonist for nausea and vomiting,QT constipation and serotonin interaction review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,antiemetic supportive medication
prochlorperazine,,dopamine antagonist antiemetic,supportive_or_symptomatic_therapy,antiemetic,dopamine receptor antagonism for nausea and vomiting,QT extrapyramidal sedation and Parkinson disease review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,antiemetic supportive medication
metoclopramide,,antiemetic prokinetic,supportive_or_symptomatic_therapy,antiemetic_prokinetic,dopamine antagonist and prokinetic effect,extrapyramidal tardive dyskinesia and renal dose review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,antiemetic and prokinetic supportive medication
senna,sennosides,stimulant laxative,supportive_or_symptomatic_therapy,bowel_regimen,stimulates intestinal motility,constipation pattern electrolyte and chronic use review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,laxative supportive medication
docusate,docusate sodium,stool softener,supportive_or_symptomatic_therapy,bowel_regimen,surfactant stool softener for constipation,limited efficacy and bowel obstruction review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,stool softener supportive medication
bisacodyl,,stimulant laxative,supportive_or_symptomatic_therapy,bowel_regimen,stimulates colonic peristalsis,obstruction dehydration and electrolyte review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,laxative supportive medication
polyethylene glycol,peg 3350|miralax,osmotic laxative,supportive_or_symptomatic_therapy,bowel_regimen,retains water in stool to improve bowel movement,obstruction dehydration and electrolyte review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,osmotic laxative supportive medication
simethicone,,antiflatulent,supportive_or_symptomatic_therapy,gastrointestinal_symptom_relief,reduces surface tension of gas bubbles,low systemic risk but symptom masking review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,anti gas supportive medication
diphenhydramine,benadryl,antihistamine,supportive_or_symptomatic_therapy,allergy_sleep_symptom_relief,H1 receptor antagonist with anticholinergic effects,delirium urinary retention glaucoma and sedation review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,antihistamine supportive medication
melatonin,,sleep support,supportive_or_symptomatic_therapy,sleep_support,regulates circadian sleep signaling,sedation and interaction review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,sleep support medication
sodium chloride,normal saline|0 9 sodium chloride|0 9 percent sodium chloride|ns,crystalloid fluid,general_inpatient_medication,fluid_flush_diluent,isotonic sodium chloride for fluids flush or diluent,volume overload sodium chloride burden and heart failure review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,common inpatient fluid flush or diluent not disease directed
dextrose,d5|d10|d50|dextrose 5|dextrose 10|dextrose 50,glucose solution,general_inpatient_medication,fluid_or_hypoglycemia_support,provides glucose calories or hypoglycemia rescue,hyperglycemia sodium dilution and extravasation review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,common inpatient fluid or glucose support medication
lactated ringer,lactated ringers|ringer,balanced crystalloid,general_inpatient_medication,fluid_resuscitation,balanced crystalloid fluid for resuscitation,potassium calcium liver and volume status review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,common inpatient crystalloid fluid
sterile water,sw,diluent,general_inpatient_medication,diluent,sterile diluent for medication preparation,not for direct IV infusion without tonicity review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,common diluent not disease directed
heparin flush,heparin lock flush|heparin catheter flush,line flush,general_inpatient_medication,line_flush,low dose heparin for catheter patency,bleeding HIT and duplicate anticoagulation review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,line maintenance medication not systemic anticoagulation
influenza vaccine,flu vaccine|influenza vaccine quadrivalent,vaccine,general_inpatient_medication,vaccine,preventive immunization against influenza,allergy acute illness and immunization status review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,preventive inpatient medication not disease directed
potassium chloride,potassium chloride replacement,electrolyte replacement,supportive_or_symptomatic_therapy,electrolyte_repletion,repletes potassium deficit,hyperkalemia renal function infusion rate and ECG review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,electrolyte repletion medication requiring lab context
magnesium sulfate,,electrolyte replacement,supportive_or_symptomatic_therapy,electrolyte_repletion,repletes magnesium and stabilizes neuromuscular excitability,renal function hypotension and respiratory depression review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,electrolyte repletion medication requiring lab context
