specialty_name,standard_drug_name,drug_name,aliases,drug_class,disease_context,treatment_role,treatment_role_label,order_category,mechanism_or_function,major_cautions,reference_source,reference_url,agent_use
心血管,aspirin,aspirin,acetylsalicylic acid,antiplatelet,acute coronary syndrome|coronary artery disease|ischemic stroke prevention,disease_directed_therapy,疾病直接治疗,disease_directed,irreversibly inhibits platelet COX and thromboxane mediated aggregation,bleeding risk and allergy review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,作为公开药物功能知识进入候选药物解释，仍需结合诊断和风险规则复核
心血管,clopidogrel,clopidogrel,plavix,P2Y12 inhibitor,acute coronary syndrome|coronary artery disease|post stent antiplatelet therapy,disease_directed_therapy,疾病直接治疗,disease_directed,inhibits ADP mediated platelet activation and aggregation,bleeding risk and procedure timing review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,作为公开药物功能知识进入候选药物解释，仍需结合诊断和风险规则复核
心血管,ticagrelor,ticagrelor,brilinta,P2Y12 inhibitor,acute coronary syndrome|post stent antiplatelet therapy,disease_directed_therapy,疾病直接治疗,disease_directed,reversibly inhibits platelet P2Y12 receptor,bleeding and dyspnea review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,作为公开药物功能知识进入候选药物解释，仍需结合诊断和风险规则复核
心血管,warfarin,warfarin,coumadin,vitamin K antagonist,atrial fibrillation|venous thromboembolism|valve disease,risk_modifying_therapy,风险控制治疗,risk_modifying,inhibits vitamin K dependent clotting factor synthesis,INR and bleeding interaction review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,作为公开药物功能知识进入候选药物解释，仍需结合诊断和风险规则复核
心血管,heparin,heparin,heparin sodium|unfractionated heparin,anticoagulant,venous thromboembolism|acute coronary syndrome|anticoagulation,risk_modifying_therapy,风险控制治疗,risk_modifying,potentiates antithrombin activity against thrombin and factor Xa,bleeding and thrombocytopenia review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,作为公开药物功能知识进入候选药物解释，仍需结合诊断和风险规则复核
心血管,enoxaparin,enoxaparin,lovenox,low molecular weight heparin,venous thromboembolism|acute coronary syndrome|anticoagulation,risk_modifying_therapy,风险控制治疗,risk_modifying,inhibits factor Xa through antithrombin activity,renal dose and bleeding review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,作为公开药物功能知识进入候选药物解释，仍需结合诊断和风险规则复核
心血管,apixaban,apixaban,eliquis,direct factor Xa inhibitor,atrial fibrillation|venous thromboembolism,risk_modifying_therapy,风险控制治疗,risk_modifying,directly inhibits factor Xa to reduce thrombin generation,renal hepatic and bleeding review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,作为公开药物功能知识进入候选药物解释，仍需结合诊断和风险规则复核
心血管,metoprolol,metoprolol,metoprolol tartrate|metoprolol succinate,beta blocker,hypertension|heart failure|arrhythmia,risk_modifying_therapy,风险控制治疗,risk_modifying,selective beta 1 blockade reduces heart rate and myocardial oxygen demand,bradycardia hypotension and acute decompensated HF review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,作为公开药物功能知识进入候选药物解释，仍需结合诊断和风险规则复核
心血管,carvedilol,carvedilol,,beta blocker,heart failure|hypertension,risk_modifying_therapy,风险控制治疗,risk_modifying,beta and alpha blockade reduces sympathetic drive and afterload,hypotension bradycardia and bronchospasm review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,作为公开药物功能知识进入候选药物解释，仍需结合诊断和风险规则复核
心血管,lisinopril,lisinopril,,ACE inhibitor,hypertension|heart failure|coronary artery disease,risk_modifying_therapy,风险控制治疗,risk_modifying,inhibits ACE to reduce angiotensin II and aldosterone,renal function potassium pregnancy and angioedema review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,作为公开药物功能知识进入候选药物解释，仍需结合诊断和风险规则复核
