specialty_name,itemid,lab_label,fluid,category,unit,case_count,coverage_pct,raw_lab_record_count,min_value,mean_value,max_value
呼吸,51221,Hematocrit,Blood,Hematology,%,19814,86.32046702099852,28528,11.1,33.6285922029419,65.6
呼吸,50912,Creatinine,Blood,Chemistry,mg/dL,19581,85.30539339548663,27218,0.0,1.3411626917249715,22.3
呼吸,50971,Potassium,Blood,Chemistry,mEq/L,19554,85.18776683802388,28126,1.6,4.13216060409026,9.7
呼吸,51265,Platelet Count,Blood,Hematology,K/uL,19530,85.08320989805698,26111,5.0,236.30393755232083,1682.0
呼吸,51006,Urea Nitrogen,Blood,Chemistry,mg/dL,19466,84.8043913914786,26969,1.0,23.548033689999166,262.0
呼吸,50983,Sodium,Blood,Chemistry,mEq/L,19443,84.704190990677,27653,80.0,138.35168765598095,179.0
呼吸,51222,Hemoglobin,Blood,Hematology,g/dL,19437,84.67805175568529,25824,3.6,11.081691572120263,19.6
呼吸,50902,Chloride,Blood,Chemistry,mEq/L,19434,84.66498213818942,27613,58.0,102.64523689050935,138.0
呼吸,51301,White Blood Cells,Blood,Hematology,K/uL,19434,84.66498213818942,25645,0.1,9.681287663087602,362.4
呼吸,51248,MCH,Blood,Hematology,pg,19411,84.56478173738782,25598,0.0,29.923847961350667,43.7
呼吸,51250,MCV,Blood,Hematology,fL,19411,84.56478173738782,25598,0.0,90.7971481560529,134.0
呼吸,51279,Red Blood Cells,Blood,Hematology,m/uL,19411,84.56478173738782,25598,0.0,3.7243484278673606,8.06
呼吸,51277,RDW,Blood,Hematology,%,19409,84.55606865905725,25597,0.0,15.052875267732938,34.1
呼吸,50882,Bicarbonate,Blood,Chemistry,mEq/L,19244,83.83723969678488,26598,5.0,26.101674197358566,49.0
呼吸,50868,Anion Gap,Blood,Chemistry,mEq/L,19228,83.76753507014028,26488,-9.0,13.647499801876231,59.0
呼吸,50931,Glucose,Blood,Chemistry,mg/dL,19171,83.51921233771891,26184,19.0,125.26896022679757,1727.0
呼吸,50960,Magnesium,Blood,Chemistry,mg/dL,17531,76.37448810664807,24091,0.0,1.9783937637002207,10.0
呼吸,51249,MCHC,Blood,Hematology,%,17514,76.3004269408382,23224,23.7,33.010175211304876,40.3
呼吸,50893,"Calcium, Total",Blood,Chemistry,mg/dL,16907,73.65600766750893,22794,0.0,8.659792780955762,23.3
呼吸,50970,Phosphate,Blood,Chemistry,mg/dL,16818,73.26827568179839,22662,0.2,3.547491194241997,38.0
