specialty_name,rule_id,lab_name,lab_purpose,threshold_type,moderate_low,moderate_high,moderate_value,moderate_operator,high_low,high_high,high_value,high_operator,unit,risk_message,moderate_action,high_action,reference_source,threshold_basis
心血管,cardiology_potassium_risk,potassium_24h,评估电解质紊乱导致的心律失常风险,range,3.5,5.0,,,3.0,5.5,,,"mmol/L",钾离子明显异常时，心律失常、传导阻滞和药物诱发心电不稳定风险上升。,对影响电解质或心律的候选药物降权，并提示复核补钾或降钾需要。,将相关方案标记为高风险，不作为优先推荐，建议先纠正电解质后再决策。,KDIGO potassium management; common clinical laboratory reference ranges,参考 KDIGO 钾紊乱管理共识和临床常用血钾安全范围，并结合心血管用药安全场景设置。
心血管,cardiology_inr_risk,inr_24h,评估抗凝相关出血风险,upper_bound,,,1.5,>,,,2.0,>,"",INR 升高提示凝血功能异常，抗凝、抗血小板或侵袭性操作相关方案的出血风险增加。,对抗凝和联用抗血小板方案降权，并提示人工复核。,暂停优先推荐强化抗凝方案，标记为高出血风险病例。,DailyMed anticoagulant labels; common coagulation safety references,参考抗凝药物说明书和凝血风险临床常用阈值，并结合心血管抗凝/抗血小板用药场景设置。
神经,neurology_inr_risk,inr_24h,评估颅内出血及神经系统出血扩展风险,upper_bound,,,1.5,>,,,2.0,>,"",INR 升高时，颅内出血扩展或侵袭性神经操作相关出血风险增加。,对抗凝、抗血小板及侵袭性治疗相关方案降权。,将病例标记为高出血风险，暂停优先推荐相关高风险方案。,DailyMed anticoagulant labels; stroke and bleeding risk clinical references,参考抗凝药物说明书和神经系统出血风险控制经验阈值。
神经,neurology_sodium_risk,sodium_24h,评估意识状态、癫痫阈值及脑水肿相关风险,range,135,145,,,130,150,,,"mmol/L",钠离子异常可能诱发意识障碍、癫痫发作阈值改变或脑水肿风险上升。,增加风险提示，降低可能加重电解质紊乱方案的优先级。,将病例标记为高风险，建议先纠正钠异常后再进行方案排序。,MedlinePlus sodium blood test; Merck Manual electrolyte disorders,参考公开临床知识源中的血钠参考范围和神经系统水电解质风险解释。
呼吸,respiratory_potassium_risk,potassium_24h,评估电解质异常对呼吸肌功能及支持治疗安全性的影响,range,3.5,5.0,,,3.0,5.5,,,"mmol/L",钾异常可能影响呼吸肌收缩、心肺联合稳定性及支持治疗安全性。,增加监测提示，并降低可能加重电解质紊乱方案的优先级。,将病例标记为高风险，优先建议纠正电解质后再推荐强化治疗方案。,KDIGO potassium management; common clinical laboratory reference ranges,参考 KDIGO 钾紊乱管理共识和临床常用血钾安全范围。
呼吸,respiratory_glucose_risk,glucose_24h,评估感染、激素治疗及代谢失衡风险,bidirectional,70,180,,,54,250,,,"mg/dL",血糖过高或过低均会增加呼吸系统感染控制和全身代谢稳定风险，尤其在激素治疗场景下更明显。,对增加糖代谢负担的方案降权，并提示复核血糖管理。,标记为高代谢风险病例，暂停优先推荐高糖代谢负担方案。,American Diabetes Association Standards of Care,参考 ADA 糖尿病诊疗标准中低血糖分级和住院血糖管理目标，并结合激素治疗场景设置。
肾内/泌尿,nephrology_creatinine_risk,creatinine_24h,评估肾功能受损及药物蓄积风险,upper_bound,,,1.5,>=,,,2.5,>=,"mg/dL",肌酐升高提示肾小球滤过下降，肾毒性药物和需肾排泄药物的不良反应风险增加。,降低潜在肾毒性药物优先级，并提示考虑剂量调整。,将相关方案标记为高风险，优先避免肾毒性或需大量肾排泄的药物组合。,KDIGO CKD guideline; drug stewardship in CKD,参考 KDIGO CKD 指南中肾功能异常和药物管理原则，并结合本队列肌酐分布设置。
肾内/泌尿,nephrology_bun_risk,bun_24h,评估肾前性或肾性损伤及代谢负荷风险,upper_bound,,,25,>=,,,40,>=,"mg/dL",尿素氮升高提示肾功能或分解代谢负荷升高，联合高肌酐时需提高用药谨慎度。,增加风险提示，降低高代谢负担方案优先级。,标记为高风险病例，建议优先保留更保守、更易监测的治疗方案。,KDIGO CKD guideline; common renal laboratory interpretation,参考 KDIGO CKD 管理原则和临床常用 BUN 风险解释，并结合本队列分布设置。
肾内/泌尿,nephrology_potassium_risk,potassium_24h,评估肾功能受损背景下的高钾或低钾并发症风险,range,3.5,5.0,,,3.0,5.5,,,"mmol/L",肾内病例中的钾异常更容易提示致命性心律失常和电解质管理失败风险。,对影响电解质平衡方案做额外审查，降低其排序分数。,将病例标记为高风险，优先建议先纠正钾异常后再进行方案推荐。,KDIGO potassium management; KDIGO CKD guideline,参考 KDIGO 钾紊乱管理共识和 CKD 药物安全管理原则设置。
内分泌/代谢,endocrinology_glucose_risk,glucose_24h,评估高血糖、低血糖及代谢失衡风险,bidirectional,70,180,,,54,250,,,"mg/dL",血糖显著偏离目标范围时，提示低血糖事件、酮症酸中毒或感染相关代谢失衡风险增加。,调整降糖相关方案优先级，并提示复核血糖监测频率。,将病例标记为高代谢风险，暂停优先推荐可能进一步加重波动的方案。,American Diabetes Association Standards of Care,参考 ADA 糖尿病诊疗标准中低血糖分级和住院血糖管理目标设置。
内分泌/代谢,endocrinology_sodium_risk,sodium_24h,评估代谢紊乱相关水电解质失衡风险,range,135,145,,,130,150,,,"mmol/L",明显低钠或高钠提示内分泌代谢性水电解质失衡，可能影响降糖与补液策略安全性。,对强化补液和快速纠正方案降权，提示人工复核。,标记为高风险病例，建议先处理水钠紊乱后再排序推荐方案。,MedlinePlus sodium blood test; Merck Manual electrolyte disorders,参考公开临床知识源中的血钠参考范围和水电解质紊乱风险解释。
消化,gastroenterology_bilirubin_risk,bilirubin_total_24h,评估肝胆代谢受损与胆汁淤积风险,upper_bound,,,2.0,>,,,3.0,>,"mg/dL",总胆红素升高提示肝胆代谢负荷增加，可能影响肝代谢药物的安全性和耐受性。,降低肝代谢负担较重药物的优先级，并提示复核肝胆状态。,将病例标记为高肝胆风险，优先避免高肝毒性和高肝代谢负担组合。,DailyMed hepatotoxicity warnings; common liver laboratory interpretation,参考药品说明书中的肝毒性风险提示和临床常用胆红素风险解释，并结合本队列分布设置。
