specialty_name,diagnosis_name,diagnosis_relevance,recommended_drugs,candidate_drug_pairs,avoid_or_low_priority_drugs,evidence_source,top_drug_evidence,treatment_role_evidence,mapping_quality,evidence_interpretation,notes
消化,Abscess of anal and rectal regions,primary_specialty_disease,metronidazole (flagyl) | ciprofloxacin hcl | ciprofloxacin iv | pantoprazole | polyethylene glycol,metronidazole (flagyl) | ciprofloxacin hcl,hydromorphone (dilaudid) | insulin | acetaminophen | potassium chloride | heparin,single_specialty_cooccurrence,metronidazole (flagyl)(340) | ciprofloxacin hcl(134) | ciprofloxacin iv(133) | pantoprazole(67) | polyethylene glycol(58),metronidazole (flagyl):disease_directed_therapy | ciprofloxacin hcl:disease_directed_therapy | ciprofloxacin iv:disease_directed_therapy | pantoprazole:disease_directed_therapy | polyethylene glycol:disease_directed_therapy,候选证据充分,单专科住院共现可作为真实世界候选证据，不代表治疗因果或临床指南推荐,已优先保留疾病直接治疗或风险控制药物，支持/通用药物移入低优先级
消化,Abscess of intestine,primary_specialty_disease,metronidazole | ciprofloxacin iv | polyethylene glycol | ceftriaxone | ciprofloxacin hcl,metronidazole | ciprofloxacin iv,hydromorphone (dilaudid) | ondansetron | oxycodone (immediate release) | acetaminophen | d5 1/2ns,single_specialty_cooccurrence,metronidazole(8) | ciprofloxacin iv(6) | polyethylene glycol(3) | ceftriaxone(2) | ciprofloxacin hcl(1),metronidazole:disease_directed_therapy | ciprofloxacin iv:disease_directed_therapy | polyethylene glycol:disease_directed_therapy | ceftriaxone:disease_directed_therapy | ciprofloxacin hcl:disease_directed_therapy,候选证据充分,单专科住院共现可作为真实世界候选证据，不代表治疗因果或临床指南推荐,已优先保留疾病直接治疗或风险控制药物，支持/通用药物移入低优先级
消化,Abscess of liver,primary_specialty_disease,metronidazole | ceftriaxone | polyethylene glycol | ciprofloxacin hcl | pantoprazole,metronidazole | ceftriaxone,acetaminophen | heparin | ondansetron | potassium chloride replacement (critical care and oncology) | lorazepam,single_specialty_cooccurrence,metronidazole(28) | ceftriaxone(14) | polyethylene glycol(9) | ciprofloxacin hcl(7) | pantoprazole(6),metronidazole:disease_directed_therapy | ceftriaxone:disease_directed_therapy | polyethylene glycol:disease_directed_therapy | ciprofloxacin hcl:disease_directed_therapy | pantoprazole:disease_directed_therapy,候选证据充分,单专科住院共现可作为真实世界候选证据，不代表治疗因果或临床指南推荐,已优先保留疾病直接治疗或风险控制药物，支持/通用药物移入低优先级
消化,Accidental puncture and laceration of a digestive system organ or structure during a digestive system procedure,specialty_related_condition,,,,single_specialty_cooccurrence,,,仅用于诊断评估,共现仅提示病例背景或跨专科合并症，不作为治疗因果证据,该诊断不是本专科主要疾病，可用于诊断评估和 MDT 协商背景
消化,Accidental puncture and laceration of a digestive system organ or structure during other procedure,specialty_related_condition,,,,single_specialty_cooccurrence,,,仅用于诊断评估,共现仅提示病例背景或跨专科合并症，不作为治疗因果证据,该诊断不是本专科主要疾病，可用于诊断评估和 MDT 协商背景
消化,Achalasia of cardia,cross_specialty_comorbidity,,,,single_specialty_cooccurrence,,,仅用于诊断评估,共现仅提示病例背景或跨专科合并症，不作为治疗因果证据,该诊断不是本专科主要疾病，可用于诊断评估和 MDT 协商背景
消化,"Acute (reversible) ischemia of intestine, part and extent unspecified",primary_specialty_disease,,,acetaminophen iv | d5 1/2ns | heparin sodium | morphine sulfate,single_specialty_cooccurrence,,,仅保留低优先级方案,单专科住院共现可作为真实世界候选证据，不代表治疗因果或临床指南推荐,当前未识别到明确核心治疗药，仅保留低优先级方案供参考
消化,"Acute (reversible) ischemia of small intestine, extent unspecified",primary_specialty_disease,,,heparin sodium | acetaminophen | apixaban | d5 1/2ns,single_specialty_cooccurrence,,,仅保留低优先级方案,单专科住院共现可作为真实世界候选证据，不代表治疗因果或临床指南推荐,当前未识别到明确核心治疗药，仅保留低优先级方案供参考
消化,Acute and subacute hepatic failure without coma,primary_specialty_disease,acetylcysteine (iv) | lactulose | polyethylene glycol | ceftriaxone | omeprazole,acetylcysteine (iv) | lactulose,potassium chloride replacement (critical care and oncology) | potassium chloride | acetaminophen | heparin | ondansetron,single_specialty_cooccurrence,acetylcysteine (iv)(24) | lactulose(5) | polyethylene glycol(4) | ceftriaxone(3) | omeprazole(3),acetylcysteine (iv):disease_directed_therapy | lactulose:disease_directed_therapy | polyethylene glycol:disease_directed_therapy | ceftriaxone:disease_directed_therapy | omeprazole:disease_directed_therapy,候选证据充分,单专科住院共现可作为真实世界候选证据，不代表治疗因果或临床指南推荐,已优先保留疾病直接治疗或风险控制药物，支持/通用药物移入低优先级
消化,Acute and subacute necrosis of liver,primary_specialty_disease,pantoprazole | lactulose | acetylcysteine (iv) | metronidazole (flagyl) | ciprofloxacin iv,pantoprazole | lactulose,potassium chloride | furosemide | insulin | vancomycin | magnesium sulfate,single_specialty_cooccurrence,pantoprazole(629) | lactulose(520) | acetylcysteine (iv)(392) | metronidazole (flagyl)(270) | ciprofloxacin iv(179),pantoprazole:disease_directed_therapy | lactulose:disease_directed_therapy | acetylcysteine (iv):disease_directed_therapy | metronidazole (flagyl):disease_directed_therapy | ciprofloxacin iv:disease_directed_therapy,候选证据充分,单专科住院共现可作为真实世界候选证据，不代表治疗因果或临床指南推荐,已优先保留疾病直接治疗或风险控制药物，支持/通用药物移入低优先级
消化,Acute appendicitis with generalized peritonitis,primary_specialty_disease,metronidazole | ciprofloxacin iv | ciprofloxacin hcl | metronidazole (flagyl) | polyethylene glycol,metronidazole | ciprofloxacin iv,heparin | acetaminophen | ns | acetaminophen iv | hydromorphone (dilaudid),single_specialty_cooccurrence,metronidazole(59) | ciprofloxacin iv(40) | ciprofloxacin hcl(30) | metronidazole (flagyl)(13) | polyethylene glycol(10),metronidazole:disease_directed_therapy | ciprofloxacin iv:disease_directed_therapy | ciprofloxacin hcl:disease_directed_therapy | metronidazole (flagyl):disease_directed_therapy | polyethylene glycol:disease_directed_therapy,候选证据充分,单专科住院共现可作为真实世界候选证据，不代表治疗因果或临床指南推荐,已优先保留疾病直接治疗或风险控制药物，支持/通用药物移入低优先级
消化,"Acute appendicitis with generalized peritonitis, without abscess",primary_specialty_disease,metronidazole | ceftriaxone | polyethylene glycol | omeprazole,metronidazole | ceftriaxone,magnesium sulfate | d5 1/2ns | potassium phosphate | ns | acetaminophen iv,single_specialty_cooccurrence,metronidazole(3) | ceftriaxone(2) | polyethylene glycol(2) | omeprazole(1),metronidazole:disease_directed_therapy | ceftriaxone:disease_directed_therapy | polyethylene glycol:disease_directed_therapy | omeprazole:disease_directed_therapy,候选证据充分,单专科住院共现可作为真实世界候选证据，不代表治疗因果或临床指南推荐,已优先保留疾病直接治疗或风险控制药物，支持/通用药物移入低优先级
消化,Acute appendicitis with localized peritonitis,primary_specialty_disease,metronidazole | ciprofloxacin iv | ciprofloxacin hcl | metronidazole (flagyl) | polyethylene glycol,metronidazole | ciprofloxacin iv,acetaminophen | hydromorphone (dilaudid) | oxycodone (immediate release) | heparin | potassium chloride,single_specialty_cooccurrence,metronidazole(47) | ciprofloxacin iv(31) | ciprofloxacin hcl(25) | metronidazole (flagyl)(13) | polyethylene glycol(10),metronidazole:disease_directed_therapy | ciprofloxacin iv:disease_directed_therapy | ciprofloxacin hcl:disease_directed_therapy | metronidazole (flagyl):disease_directed_therapy | polyethylene glycol:disease_directed_therapy,候选证据充分,单专科住院共现可作为真实世界候选证据，不代表治疗因果或临床指南推荐,已优先保留疾病直接治疗或风险控制药物，支持/通用药物移入低优先级
消化,"Acute appendicitis with localized peritonitis and gangrene, without perforation",primary_specialty_disease,ciprofloxacin iv | metronidazole | polyethylene glycol,ciprofloxacin iv | metronidazole,acetaminophen | heparin | hydromorphone (dilaudid) | ibuprofen | ns,single_specialty_cooccurrence,ciprofloxacin iv(1) | metronidazole(1) | polyethylene glycol(1),ciprofloxacin iv:disease_directed_therapy | metronidazole:disease_directed_therapy | polyethylene glycol:disease_directed_therapy,候选证据充分,单专科住院共现可作为真实世界候选证据，不代表治疗因果或临床指南推荐,已优先保留疾病直接治疗或风险控制药物，支持/通用药物移入低优先级
消化,"Acute appendicitis with localized peritonitis, without perforation or gangrene",primary_specialty_disease,ceftriaxone | polyethylene glycol,ceftriaxone | polyethylene glycol,acetaminophen | heparin | oxycodone (immediate release) | hydromorphone (dilaudid) | influenza vaccine quadrivalent,single_specialty_cooccurrence,ceftriaxone(1) | polyethylene glycol(1),ceftriaxone:disease_directed_therapy | polyethylene glycol:disease_directed_therapy,候选证据充分,单专科住院共现可作为真实世界候选证据，不代表治疗因果或临床指南推荐,已优先保留疾病直接治疗或风险控制药物，支持/通用药物移入低优先级
消化,"Acute appendicitis with perforation, localized peritonitis, and gangrene, with abscess",primary_specialty_disease,metronidazole | ceftriaxone | ciprofloxacin hcl | polyethylene glycol | ciprofloxacin iv,metronidazole | ceftriaxone,acetaminophen | heparin | ns | acetaminophen iv | potassium chloride,single_specialty_cooccurrence,metronidazole(70) | ceftriaxone(46) | ciprofloxacin hcl(17) | polyethylene glycol(15) | ciprofloxacin iv(9),metronidazole:disease_directed_therapy | ceftriaxone:disease_directed_therapy | ciprofloxacin hcl:disease_directed_therapy | polyethylene glycol:disease_directed_therapy | ciprofloxacin iv:disease_directed_therapy,候选证据充分,单专科住院共现可作为真实世界候选证据，不代表治疗因果或临床指南推荐,已优先保留疾病直接治疗或风险控制药物，支持/通用药物移入低优先级
消化,"Acute appendicitis with perforation, localized peritonitis, and gangrene, without abscess",primary_specialty_disease,metronidazole | ceftriaxone | polyethylene glycol | ciprofloxacin hcl | ciprofloxacin iv,metronidazole | ceftriaxone,acetaminophen | oxycodone (immediate release) | heparin | ns | acetaminophen iv,single_specialty_cooccurrence,metronidazole(45) | ceftriaxone(27) | polyethylene glycol(11) | ciprofloxacin hcl(10) | ciprofloxacin iv(8),metronidazole:disease_directed_therapy | ceftriaxone:disease_directed_therapy | polyethylene glycol:disease_directed_therapy | ciprofloxacin hcl:disease_directed_therapy | ciprofloxacin iv:disease_directed_therapy,候选证据充分,单专科住院共现可作为真实世界候选证据，不代表治疗因果或临床指南推荐,已优先保留疾病直接治疗或风险控制药物，支持/通用药物移入低优先级
消化,Acute cholecystitis,primary_specialty_disease,metronidazole | polyethylene glycol | ceftriaxone | ciprofloxacin iv | omeprazole,metronidazole | polyethylene glycol,oxycodone (immediate release) | acetaminophen | hydromorphone (dilaudid) | heparin | acetaminophen iv,single_specialty_cooccurrence,metronidazole(24) | polyethylene glycol(19) | ceftriaxone(14) | ciprofloxacin iv(9) | omeprazole(7),metronidazole:disease_directed_therapy | polyethylene glycol:disease_directed_therapy | ceftriaxone:disease_directed_therapy | ciprofloxacin iv:disease_directed_therapy | omeprazole:disease_directed_therapy,候选证据充分,单专科住院共现可作为真实世界候选证据，不代表治疗因果或临床指南推荐,已优先保留疾病直接治疗或风险控制药物，支持/通用药物移入低优先级
消化,Acute cholecystitis with chronic cholecystitis,primary_specialty_disease,metronidazole | ceftriaxone | pantoprazole | ciprofloxacin iv,metronidazole | ceftriaxone,acetaminophen | oxycodone (immediate release) | heparin | hydromorphone (dilaudid) | acetaminophen iv,single_specialty_cooccurrence,metronidazole(4) | ceftriaxone(3) | pantoprazole(3) | ciprofloxacin iv(1),metronidazole:disease_directed_therapy | ceftriaxone:disease_directed_therapy | pantoprazole:disease_directed_therapy | ciprofloxacin iv:disease_directed_therapy,候选证据充分,单专科住院共现可作为真实世界候选证据，不代表治疗因果或临床指南推荐,已优先保留疾病直接治疗或风险控制药物，支持/通用药物移入低优先级
消化,Acute dilatation of stomach,primary_specialty_disease,pantoprazole,pantoprazole,acetaminophen iv | d5 1/2ns | heparin | hydrocodone-acetaminophen (5mg-325mg) | morphine sulfate,single_specialty_cooccurrence,pantoprazole(1),pantoprazole:disease_directed_therapy,候选证据充分,单专科住院共现可作为真实世界候选证据，不代表治疗因果或临床指南推荐,已优先保留疾病直接治疗或风险控制药物，支持/通用药物移入低优先级
消化,Acute duodenal ulcer with hemorrhage,primary_specialty_disease,pantoprazole | omeprazole | creon 12 | polyethylene glycol,pantoprazole | omeprazole,influenza vaccine quadrivalent | senna | acetaminophen | docusate sodium | nicotine patch,single_specialty_cooccurrence,pantoprazole(4) | omeprazole(2) | creon 12(1) | polyethylene glycol(1),pantoprazole:disease_directed_therapy | omeprazole:disease_directed_therapy | creon 12:disease_directed_therapy | polyethylene glycol:disease_directed_therapy,候选证据充分,单专科住院共现可作为真实世界候选证据，不代表治疗因果或临床指南推荐,已优先保留疾病直接治疗或风险控制药物，支持/通用药物移入低优先级
消化,Acute duodenal ulcer with perforation,primary_specialty_disease,pantoprazole | metronidazole | ciprofloxacin hcl | ceftriaxone | ciprofloxacin iv,pantoprazole | metronidazole,lorazepam | magnesium sulfate | heparin | potassium chloride | sw,single_specialty_cooccurrence,pantoprazole(4) | metronidazole(3) | ciprofloxacin hcl(2) | ceftriaxone(1) | ciprofloxacin iv(1),pantoprazole:disease_directed_therapy | metronidazole:disease_directed_therapy | ciprofloxacin hcl:disease_directed_therapy | ceftriaxone:disease_directed_therapy | ciprofloxacin iv:disease_directed_therapy,候选证据充分,单专科住院共现可作为真实世界候选证据，不代表治疗因果或临床指南推荐,已优先保留疾病直接治疗或风险控制药物，支持/通用药物移入低优先级
消化,Acute gastric ulcer with both hemorrhage and perforation,primary_specialty_disease,pantoprazole,pantoprazole,hydromorphone (dilaudid) | piperacillin-tazobactam | potassium chloride | sterile water | calcium gluconate,single_specialty_cooccurrence,pantoprazole(1),pantoprazole:disease_directed_therapy,候选证据充分,单专科住院共现可作为真实世界候选证据，不代表治疗因果或临床指南推荐,已优先保留疾病直接治疗或风险控制药物，支持/通用药物移入低优先级
消化,Acute gastric ulcer without hemorrhage or perforation,primary_specialty_disease,lactulose | pantoprazole | polyethylene glycol,lactulose | pantoprazole,docusate sodium | ondansetron | oxycodone (immediate release) | senna | acetaminophen,single_specialty_cooccurrence,lactulose(1) | pantoprazole(1) | polyethylene glycol(1),lactulose:disease_directed_therapy | pantoprazole:disease_directed_therapy | polyethylene glycol:disease_directed_therapy,候选证据充分,单专科住院共现可作为真实世界候选证据，不代表治疗因果或临床指南推荐,已优先保留疾病直接治疗或风险控制药物，支持/通用药物移入低优先级
消化,Acute gastritis with bleeding,cross_specialty_comorbidity,,,,single_specialty_cooccurrence,,,仅用于诊断评估,共现仅提示病例背景或跨专科合并症，不作为治疗因果证据,该诊断不是本专科主要疾病，可用于诊断评估和 MDT 协商背景
消化,Acute gastritis without bleeding,cross_specialty_comorbidity,,,,single_specialty_cooccurrence,,,仅用于诊断评估,共现仅提示病例背景或跨专科合并症，不作为治疗因果证据,该诊断不是本专科主要疾病，可用于诊断评估和 MDT 协商背景
消化,Acute gastrojejunal ulcer with hemorrhage,primary_specialty_disease,pantoprazole | creon 12 | polyethylene glycol,pantoprazole | creon 12,acetaminophen | influenza vaccine quadrivalent | ramelteon | senna | sucralfate,single_specialty_cooccurrence,pantoprazole(2) | creon 12(1) | polyethylene glycol(1),pantoprazole:disease_directed_therapy | creon 12:disease_directed_therapy | polyethylene glycol:disease_directed_therapy,候选证据充分,单专科住院共现可作为真实世界候选证据，不代表治疗因果或临床指南推荐,已优先保留疾病直接治疗或风险控制药物，支持/通用药物移入低优先级
消化,"Acute infarction of small intestine, extent unspecified",primary_specialty_disease,ceftriaxone,ceftriaxone,potassium chloride | acetaminophen | acetaminophen iv | cepacol (sore throat lozenge) | d5 1/2ns,single_specialty_cooccurrence,ceftriaxone(1),ceftriaxone:disease_directed_therapy,候选证据充分,单专科住院共现可作为真实世界候选证据，不代表治疗因果或临床指南推荐,已优先保留疾病直接治疗或风险控制药物，支持/通用药物移入低优先级
消化,"Acute pancreatitis with infected necrosis, unspecified",primary_specialty_disease,metronidazole | pantoprazole | hydrocortisone na succ.,metronidazole | pantoprazole,magnesium sulfate | d5 1/2ns | potassium chloride | oxycodone (immediate release) | acetaminophen,single_specialty_cooccurrence,metronidazole(4) | pantoprazole(4) | hydrocortisone na succ.(2),metronidazole:disease_directed_therapy | pantoprazole:disease_directed_therapy | hydrocortisone na succ.:disease_directed_therapy,候选证据充分,单专科住院共现可作为真实世界候选证据，不代表治疗因果或临床指南推荐,已优先保留疾病直接治疗或风险控制药物，支持/通用药物移入低优先级
消化,"Acute pancreatitis with uninfected necrosis, unspecified",primary_specialty_disease,pantoprazole | creon 12 | omeprazole | polyethylene glycol,pantoprazole | creon 12,lorazepam | hydromorphone (dilaudid) | morphine sulfate | ondansetron | acetaminophen,single_specialty_cooccurrence,pantoprazole(2) | creon 12(1) | omeprazole(1) | polyethylene glycol(1),pantoprazole:disease_directed_therapy | creon 12:disease_directed_therapy | omeprazole:disease_directed_therapy | polyethylene glycol:disease_directed_therapy,候选证据充分,单专科住院共现可作为真实世界候选证据，不代表治疗因果或临床指南推荐,已优先保留疾病直接治疗或风险控制药物，支持/通用药物移入低优先级
消化,"Acute pancreatitis without necrosis or infection, unspecified",primary_specialty_disease,polyethylene glycol | omeprazole | creon 12 | metronidazole | pantoprazole,polyethylene glycol | omeprazole,acetaminophen | hydromorphone (dilaudid) | ondansetron | senna | oxycodone (immediate release),single_specialty_cooccurrence,polyethylene glycol(27) | omeprazole(17) | creon 12(16) | metronidazole(13) | pantoprazole(12),polyethylene glycol:disease_directed_therapy | omeprazole:disease_directed_therapy | creon 12:disease_directed_therapy | metronidazole:disease_directed_therapy | pantoprazole:disease_directed_therapy,候选证据充分,单专科住院共现可作为真实世界候选证据，不代表治疗因果或临床指南推荐,已优先保留疾病直接治疗或风险控制药物，支持/通用药物移入低优先级
消化,"Acute pancreatitis, unspecified",primary_specialty_disease,pantoprazole | polyethylene glycol | ciprofloxacin hcl | ciprofloxacin iv | creon 12,pantoprazole | polyethylene glycol,hydromorphone (dilaudid) | ondansetron | heparin | acetaminophen | docusate sodium,single_specialty_cooccurrence,pantoprazole(6) | polyethylene glycol(3) | ciprofloxacin hcl(1) | ciprofloxacin iv(1) | creon 12(1),pantoprazole:disease_directed_therapy | polyethylene glycol:disease_directed_therapy | ciprofloxacin hcl:disease_directed_therapy | ciprofloxacin iv:disease_directed_therapy | creon 12:disease_directed_therapy,候选证据充分,单专科住院共现可作为真实世界候选证据，不代表治疗因果或临床指南推荐,已优先保留疾病直接治疗或风险控制药物，支持/通用药物移入低优先级
消化,Acute recurrent sialoadenitis,cross_specialty_comorbidity,,,,single_specialty_cooccurrence,,,仅用于诊断评估,共现仅提示病例背景或跨专科合并症，不作为治疗因果证据,该诊断不是本专科主要疾病，可用于诊断评估和 MDT 协商背景
消化,Acute sialoadenitis,cross_specialty_comorbidity,,,,single_specialty_cooccurrence,,,仅用于诊断评估,共现仅提示病例背景或跨专科合并症，不作为治疗因果证据,该诊断不是本专科主要疾病，可用于诊断评估和 MDT 协商背景
