specialty_name,diagnosis_name,diagnosis_relevance,recommended_drugs,candidate_drug_pairs,avoid_or_low_priority_drugs,evidence_source,top_drug_evidence,mapping_quality,evidence_interpretation,notes,treatment_role_evidence
内分泌/代谢,Acidosis,cross_specialty_comorbidity,,,,single_specialty_cooccurrence,,仅用于诊断评估,共现仅提示病例背景或跨专科合并症，不作为治疗因果证据,该诊断不是本专科主要疾病，可用于诊断评估和 MDT 协商背景,
内分泌/代谢,Acromegaly and pituitary gigantism,primary_specialty_disease,desmopressin acetate | hydrocortisone na succ. | hydrocortisone | levothyroxine sodium,desmopressin acetate | hydrocortisone na succ.,0.9% sodium chloride (mini bag plus) | acetaminophen | ceftriaxone | bisacodyl | docusate sodium,single_specialty_cooccurrence,desmopressin acetate(10) | hydrocortisone na succ.(4) | hydrocortisone(3) | levothyroxine sodium(1),候选证据充分,单专科住院共现可作为真实世界候选证据，不代表治疗因果或临床指南推荐,已优先保留疾病直接治疗或风险控制药物，支持/通用药物移入低优先级,desmopressin acetate:disease_directed_therapy | hydrocortisone na succ.:disease_directed_therapy | hydrocortisone:disease_directed_therapy | levothyroxine sodium:disease_directed_therapy
内分泌/代谢,Acute intermittent (hepatic) porphyria,primary_specialty_disease,methylprednisolone sodium succ,methylprednisolone sodium succ,morphine sulfate | d10w | diphenhydramine | acetaminophen | bisacodyl,single_specialty_cooccurrence,methylprednisolone sodium succ(1),候选证据充分,单专科住院共现可作为真实世界候选证据，不代表治疗因果或临床指南推荐,已优先保留疾病直接治疗或风险控制药物，支持/通用药物移入低优先级,methylprednisolone sodium succ:disease_directed_therapy
内分泌/代谢,Acute thyroiditis,primary_specialty_disease,atenolol | cholestyramine,atenolol | cholestyramine,acyclovir | enoxaparin (prophylaxis) | fluticasone propionate nasal | ibuprofen | multivitamins,single_specialty_cooccurrence,atenolol(3) | cholestyramine(1),候选证据充分,单专科住院共现可作为真实世界候选证据，不代表治疗因果或临床指南推荐,已优先保留疾病直接治疗或风险控制药物，支持/通用药物移入低优先级,atenolol:disease_directed_therapy | cholestyramine:disease_directed_therapy
内分泌/代谢,"Albinism, unspecified",cross_specialty_comorbidity,,,,single_specialty_cooccurrence,,仅用于诊断评估,共现仅提示病例背景或跨专科合并症，不作为治疗因果证据,该诊断不是本专科主要疾病，可用于诊断评估和 MDT 协商背景,
内分泌/代谢,Alkalosis,cross_specialty_comorbidity,,,,single_specialty_cooccurrence,,仅用于诊断评估,共现仅提示病例背景或跨专科合并症，不作为治疗因果证据,该诊断不是本专科主要疾病，可用于诊断评估和 MDT 协商背景,
内分泌/代谢,"Amyloidosis, unspecified",cross_specialty_comorbidity,,,,single_specialty_cooccurrence,,仅用于诊断评估,共现仅提示病例背景或跨专科合并症，不作为治疗因果证据,该诊断不是本专科主要疾病，可用于诊断评估和 MDT 协商背景,
内分泌/代谢,Ascorbic acid deficiency,cross_specialty_comorbidity,,,,single_specialty_cooccurrence,,仅用于诊断评估,共现仅提示病例背景或跨专科合并症，不作为治疗因果证据,该诊断不是本专科主要疾病，可用于诊断评估和 MDT 协商背景,
内分泌/代谢,Autoimmune thyroiditis,primary_specialty_disease,insulin | levothyroxine sodium | calcium carbonate | prednisone | insulin pump (self administering medication),insulin | levothyroxine sodium,acetaminophen | docusate sodium | ondansetron | oxycodone (immediate release) | senna,single_specialty_cooccurrence,insulin(237) | levothyroxine sodium(103) | calcium carbonate(42) | prednisone(14) | insulin pump (self administering medication)(11),候选证据充分,单专科住院共现可作为真实世界候选证据，不代表治疗因果或临床指南推荐,已优先保留疾病直接治疗或风险控制药物，支持/通用药物移入低优先级,insulin:disease_directed_therapy | levothyroxine sodium:disease_directed_therapy | calcium carbonate:disease_directed_therapy | prednisone:disease_directed_therapy | insulin pump (self administering medication):disease_directed_therapy
内分泌/代谢,Carcinoid syndrome,cross_specialty_comorbidity,,,,single_specialty_cooccurrence,,仅用于诊断评估,共现仅提示病例背景或跨专科合并症，不作为治疗因果证据,该诊断不是本专科主要疾病，可用于诊断评估和 MDT 协商背景,
