specialty_name,disease_name,aliases,diagnostic_basis,key_symptoms,key_labs_or_tests,differential_diagnosis,reference_source,reference_url,agent_use
心血管,acute coronary syndrome,acute myocardial infarction|unstable angina|NSTEMI|STEMI,ischemic symptoms with ECG change or troponin rise,chest pain|dyspnea|diaphoresis|nausea,troponin|ECG|CK-MB|echocardiography,aortic dissection|pulmonary embolism|pericarditis|noncardiac chest pain,AHA/ACC ACS guidance; Merck Manual,https://www.merckmanuals.com/professional/cardiovascular-disorders/coronary-artery-disease/acute-coronary-syndromes,用于识别急性冠脉综合征并提示抗血小板抗凝和出血风险复核
心血管,stable coronary artery disease,chronic coronary syndrome|coronary atherosclerosis|angina,exertional ischemic symptoms or known coronary artery disease with objective ischemia,exertional chest discomfort|dyspnea|fatigue,ECG|stress testing|coronary angiography|lipid profile,acute coronary syndrome|GERD|musculoskeletal pain,AHA/ACC chronic coronary disease guideline; Merck Manual,https://www.merckmanuals.com/professional/cardiovascular-disorders/coronary-artery-disease/coronary-artery-disease,用于识别慢性冠脉病治疗目标和抗血小板调脂知识
心血管,heart failure,congestive heart failure|systolic heart failure|diastolic heart failure,typical congestion symptoms plus objective cardiac dysfunction evidence,dyspnea|edema|orthopnea|fatigue,BNP|NT-proBNP|echocardiography|chest radiograph|creatinine,COPD exacerbation|renal failure|pneumonia|pulmonary embolism,AHA/ACC/HFSA heart failure guideline; Merck Manual,https://www.merckmanuals.com/professional/cardiovascular-disorders/heart-failure/heart-failure-hf,用于识别心衰相关治疗目标和容量管理风险
心血管,atrial fibrillation,atrial flutter|unspecified atrial fibrillation,irregular rhythm with ECG evidence of atrial fibrillation,palpitations|syncope|dyspnea|fatigue,ECG|INR|electrolytes|TSH,sinus tachycardia|supraventricular tachycardia|atrial flutter,AHA/ACC atrial fibrillation guideline; MedlinePlus,https://medlineplus.gov/atrialfibrillation.html,用于识别抗凝和心率控制相关诊疗知识
心血管,hypertension,essential hypertension|hypertensive chronic kidney disease,persistent elevated blood pressure or documented hypertensive disease,headache|chest discomfort|often asymptomatic,blood pressure|creatinine|potassium|urinalysis,secondary hypertension|pain related blood pressure elevation|white coat hypertension,ACC/AHA hypertension guideline; MedlinePlus,https://medlineplus.gov/highbloodpressure.html,用于识别降压治疗目标和肾功能电解质复核
心血管,valvular heart disease,aortic stenosis|mitral regurgitation|aortic regurgitation|mitral stenosis,murmur or symptoms with echocardiographic valve abnormality,dyspnea|syncope|chest pain|edema,echocardiography|ECG|BNP|chest radiograph,heart failure|cardiomyopathy|pulmonary hypertension,AHA/ACC valvular heart disease guideline; Merck Manual,https://www.merckmanuals.com/professional/cardiovascular-disorders/valvular-disorders/overview-of-cardiac-valvular-disorders,用于识别瓣膜病导致的容量和抗凝相关风险
心血管,infective endocarditis,endocarditis|acute bacterial endocarditis,persistent bacteremia with vegetation or compatible Duke criteria,fever|new murmur|embolic signs|chills,blood culture|echocardiography|CBC|CRP,sepsis|valvular degeneration|noninfective endocarditis,AHA infective endocarditis statement; Merck Manual,https://www.merckmanuals.com/professional/cardiovascular-disorders/endocarditis/infective-endocarditis,用于识别感染性心内膜炎和抗感染抗凝复核场景
心血管,aortic aneurysm or dissection,aortic aneurysm|aortic dissection|abdominal aortic aneurysm,acute tearing pain or aneurysm imaging evidence with vascular risk context,severe chest pain|back pain|syncope|hypotension,CT angiography|echocardiography|blood pressure|hemoglobin,acute coronary syndrome|pulmonary embolism|musculoskeletal pain,ACC/AHA aortic disease guideline; Merck Manual,https://www.merckmanuals.com/professional/cardiovascular-disorders/aortic-disorders/aortic-dissection,用于识别主动脉急症和抗凝降压风险复核
神经,ischemic stroke,cerebral infarction|transient ischemic attack|TIA,focal neurological deficit with vascular imaging or clinical stroke diagnosis,weakness|aphasia|facial droop|vision loss|ataxia,CT head|MRI brain|coagulation tests|glucose|vascular imaging,intracerebral hemorrhage|seizure|migraine|hypoglycemia,AHA/ASA stroke guideline; Merck Manual,https://www.merckmanuals.com/professional/neurologic-disorders/stroke/ischemic-stroke,用于识别卒中诊断线索和抗栓治疗复核
神经,intracerebral hemorrhage,subarachnoid hemorrhage|nontraumatic intracranial hemorrhage,acute neurological deficit with CT or MRI evidence of bleeding,headache|vomiting|altered consciousness|focal deficit,CT head|INR|platelet count|blood pressure,ischemic stroke|trauma|brain tumor|hemorrhagic conversion,AHA/ASA intracerebral hemorrhage guideline; Merck Manual,https://www.merckmanuals.com/professional/neurologic-disorders/stroke/intracerebral-hemorrhage,用于识别出血性神经疾病和抗凝抗血小板风险
神经,seizure disorder,epilepsy|status epilepticus|convulsions,recurrent unprovoked seizures or acute seizure with compatible clinical evidence,convulsion|loss of consciousness|postictal confusion|tongue bite,EEG|glucose|sodium|calcium|drug levels,syncope|metabolic encephalopathy|psychogenic nonepileptic seizure,ILAE epilepsy resources; MedlinePlus,https://medlineplus.gov/epilepsy.html,用于识别抗癫痫治疗目标和代谢诱因
神经,meningitis or encephalitis,meningitis|encephalitis|meningoencephalitis,infection or inflammation of central nervous system supported by CSF or imaging,fever|neck stiffness|headache|altered mental status,CSF analysis|blood culture|CT or MRI|WBC,sepsis associated encephalopathy|stroke|drug toxicity,IDSA meningitis guidance; Merck Manual,https://www.merckmanuals.com/professional/neurologic-disorders/meningitis/acute-bacterial-meningitis,用于识别中枢感染诊断线索和抗感染治疗风险
