specialty_name,standard_drug_name,aliases,drug_class,disease_context,treatment_role,mechanism_or_function,major_cautions,reference_source,reference_url,reference_note
心血管,aspirin,acetylsalicylic acid,antiplatelet,acute coronary syndrome|coronary artery disease|ischemic stroke prevention,disease_directed_therapy,irreversibly inhibits platelet COX and thromboxane mediated aggregation,bleeding risk and allergy review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,antiplatelet drug used in cardiovascular thrombotic disease contexts
心血管,clopidogrel,plavix,P2Y12 inhibitor,acute coronary syndrome|coronary artery disease|post stent antiplatelet therapy,disease_directed_therapy,inhibits ADP mediated platelet activation and aggregation,bleeding risk and procedure timing review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,P2Y12 antiplatelet reference drug
心血管,ticagrelor,brilinta,P2Y12 inhibitor,acute coronary syndrome|post stent antiplatelet therapy,disease_directed_therapy,reversibly inhibits platelet P2Y12 receptor,bleeding and dyspnea review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,P2Y12 antiplatelet reference drug
心血管,warfarin,coumadin,vitamin K antagonist,atrial fibrillation|venous thromboembolism|valve disease,risk_modifying_therapy,inhibits vitamin K dependent clotting factor synthesis,INR and bleeding interaction review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,oral anticoagulant reference drug
心血管,heparin,heparin sodium|unfractionated heparin,anticoagulant,venous thromboembolism|acute coronary syndrome|anticoagulation,risk_modifying_therapy,potentiates antithrombin activity against thrombin and factor Xa,bleeding and thrombocytopenia review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,systemic anticoagulant reference drug excluding flush use
心血管,enoxaparin,lovenox,low molecular weight heparin,venous thromboembolism|acute coronary syndrome|anticoagulation,risk_modifying_therapy,inhibits factor Xa through antithrombin activity,renal dose and bleeding review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,low molecular weight heparin reference drug
心血管,apixaban,eliquis,direct factor Xa inhibitor,atrial fibrillation|venous thromboembolism,risk_modifying_therapy,directly inhibits factor Xa to reduce thrombin generation,renal hepatic and bleeding review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,direct oral anticoagulant reference drug
心血管,metoprolol,metoprolol tartrate|metoprolol succinate,beta blocker,hypertension|heart failure|arrhythmia,risk_modifying_therapy,selective beta 1 blockade reduces heart rate and myocardial oxygen demand,bradycardia hypotension and acute decompensated HF review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,beta blocker reference drug
心血管,carvedilol,,beta blocker,heart failure|hypertension,risk_modifying_therapy,beta and alpha blockade reduces sympathetic drive and afterload,hypotension bradycardia and bronchospasm review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,beta blocker reference drug
心血管,lisinopril,,ACE inhibitor,hypertension|heart failure|coronary artery disease,risk_modifying_therapy,inhibits ACE to reduce angiotensin II and aldosterone,renal function potassium pregnancy and angioedema review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,ACE inhibitor reference drug
心血管,losartan,,ARB,hypertension|heart failure|diabetic kidney disease,risk_modifying_therapy,blocks angiotensin II receptor signaling,renal function potassium and pregnancy review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,angiotensin receptor blocker reference drug
心血管,atorvastatin,lipitor,statin,hyperlipidemia|coronary artery disease|stroke prevention,risk_modifying_therapy,inhibits HMG CoA reductase and lowers LDL cholesterol,liver enzyme and myopathy review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,statin reference drug
心血管,furosemide,lasix,loop diuretic,heart failure|volume overload|edema,risk_modifying_therapy,inhibits NKCC2 in loop of Henle to promote natriuresis,electrolyte renal and volume status review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,loop diuretic reference drug
心血管,spironolactone,,mineralocorticoid receptor antagonist,heart failure|ascites|edema,risk_modifying_therapy,blocks aldosterone receptor to reduce sodium retention,potassium renal function and endocrine adverse effect review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,mineralocorticoid receptor antagonist reference drug
心血管,amiodarone,,antiarrhythmic,atrial fibrillation|ventricular arrhythmia,risk_modifying_therapy,blocks potassium channels and has multi channel antiarrhythmic effects,QT thyroid liver lung and interaction review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,antiarrhythmic reference drug
心血管,nitroglycerin,glyceryl trinitrate,nitrate,angina|acute coronary syndrome|hypertensive pulmonary edema,disease_directed_therapy,donates nitric oxide to dilate veins and coronary arteries,hypotension and phosphodiesterase inhibitor interaction review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,nitrate reference drug
