specialty_name,standard_drug_name,drug_name,aliases,drug_class,disease_context,treatment_role,treatment_role_label,order_category,mechanism_or_function,major_cautions,reference_source,reference_url,agent_use
消化,pantoprazole,pantoprazole,protonix,proton pump inhibitor,GERD|GI bleeding prophylaxis|peptic ulcer,disease_directed_therapy,疾病直接治疗,disease_directed,inhibits gastric H K ATPase and suppresses acid secretion,C difficile magnesium B12 and long term use review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,作为公开药物功能知识进入候选药物解释，仍需结合诊断和风险规则复核
消化,omeprazole,omeprazole,prilosec,proton pump inhibitor,GERD|peptic ulcer,disease_directed_therapy,疾病直接治疗,disease_directed,inhibits gastric H K ATPase and suppresses acid secretion,C difficile magnesium B12 and interaction review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,作为公开药物功能知识进入候选药物解释，仍需结合诊断和风险规则复核
消化,famotidine,famotidine,pepcid,H2 receptor antagonist,GERD|stress ulcer prophylaxis|peptic ulcer,disease_directed_therapy,疾病直接治疗,disease_directed,blocks histamine H2 receptor to reduce gastric acid secretion,renal dose delirium and QT risk review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,作为公开药物功能知识进入候选药物解释，仍需结合诊断和风险规则复核
消化,lactulose,lactulose,,osmotic laxative,hepatic encephalopathy|constipation,disease_directed_therapy,疾病直接治疗,disease_directed,acidifies colon and reduces ammonia absorption while promoting catharsis,diarrhea dehydration and sodium potassium review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,作为公开药物功能知识进入候选药物解释，仍需结合诊断和风险规则复核
消化,rifaximin,rifaximin,xifaxan,non absorbed antibiotic,hepatic encephalopathy|traveler diarrhea,disease_directed_therapy,疾病直接治疗,disease_directed,reduces intestinal ammonia producing bacteria,allergy C difficile and liver context review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,作为公开药物功能知识进入候选药物解释，仍需结合诊断和风险规则复核
消化,metronidazole,metronidazole,flagyl,nitroimidazole antibiotic,intra abdominal infection|colitis|anaerobic infection,risk_modifying_therapy,风险控制治疗,risk_modifying,causes DNA strand breakage in anaerobic organisms,neuropathy alcohol interaction and liver review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,作为公开药物功能知识进入候选药物解释，仍需结合诊断和风险规则复核
消化,ciprofloxacin,ciprofloxacin,cipro,fluoroquinolone antibiotic,intra abdominal infection|biliary infection|infectious diarrhea,risk_modifying_therapy,风险控制治疗,risk_modifying,inhibits bacterial DNA gyrase and topoisomerase IV,QT tendon glucose CNS and renal dose review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,作为公开药物功能知识进入候选药物解释，仍需结合诊断和风险规则复核
消化,ceftriaxone,ceftriaxone,rocephin,cephalosporin antibiotic,biliary infection|spontaneous bacterial peritonitis|GI infection,risk_modifying_therapy,风险控制治疗,risk_modifying,beta lactam antibiotic inhibits bacterial cell wall synthesis,biliary sludging allergy and C difficile review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,作为公开药物功能知识进入候选药物解释，仍需结合诊断和风险规则复核
消化,ursodiol,ursodiol,ursodeoxycholic acid,bile acid,biliary disease|cholestasis,disease_directed_therapy,疾病直接治疗,disease_directed,hydrophilic bile acid improves bile flow and reduces toxic bile acids,diarrhea liver test monitoring and gallstone context review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,作为公开药物功能知识进入候选药物解释，仍需结合诊断和风险规则复核
消化,mesalamine,mesalamine,mesalazine|5 ASA,aminosalicylate,inflammatory bowel disease|ulcerative colitis,disease_directed_therapy,疾病直接治疗,disease_directed,topical anti inflammatory effect in intestinal mucosa,renal function hypersensitivity and pancreatitis review,RxNorm/ATC/DailyMed,https://dailymed.nlm.nih.gov/dailymed,作为公开药物功能知识进入候选药物解释，仍需结合诊断和风险规则复核
