specialty_name,diagnosis_name,diagnosis_relevance,recommended_drugs,candidate_drug_pairs,avoid_or_low_priority_drugs,evidence_source,top_drug_evidence,treatment_role_evidence,mapping_quality,evidence_interpretation,notes
肾内/泌尿,Abscess of corpus cavernosum and penis,primary_specialty_disease,ceftriaxone,ceftriaxone,hydromorphone (dilaudid) | acetaminophen | oxycodone (immediate release) | vancomycin | heparin,single_specialty_cooccurrence,ceftriaxone(2),ceftriaxone:risk_modifying_therapy,候选证据充分,单专科住院共现可作为真实世界候选证据，不代表治疗因果或临床指南推荐,已优先保留疾病直接治疗或风险控制药物，支持/通用药物移入低优先级
肾内/泌尿,Accidental puncture and laceration of a genitourinary system organ or structure during a genitourinary system procedure,specialty_related_condition,,,,single_specialty_cooccurrence,,,仅用于诊断评估,共现仅提示病例背景或跨专科合并症，不作为治疗因果证据,该诊断不是本专科主要疾病，可用于诊断评估和 MDT 协商背景
肾内/泌尿,Accidental puncture and laceration of a genitourinary system organ or structure during other procedure,specialty_related_condition,,,,single_specialty_cooccurrence,,,仅用于诊断评估,共现仅提示病例背景或跨专科合并症，不作为治疗因果证据,该诊断不是本专科主要疾病，可用于诊断评估和 MDT 协商背景
肾内/泌尿,Acute cystitis with hematuria,primary_specialty_disease,ceftriaxone,ceftriaxone,sertraline | acetaminophen | docusate sodium | haloperidol | nitrofurantoin monohyd (macrobid),single_specialty_cooccurrence,ceftriaxone(2),ceftriaxone:risk_modifying_therapy,候选证据充分,单专科住院共现可作为真实世界候选证据，不代表治疗因果或临床指南推荐,已优先保留疾病直接治疗或风险控制药物，支持/通用药物移入低优先级
肾内/泌尿,Acute kidney failure with acute cortical necrosis,primary_specialty_disease,ceftriaxone | ferric gluconate | heparin (hemodialysis) | labetalol,ceftriaxone | ferric gluconate,acetaminophen | docusate sodium | heparin dwell (1000 units/ml) | neomycin-polymyxin-bacitracin | simethicone,single_specialty_cooccurrence,ceftriaxone(1) | ferric gluconate(1) | heparin (hemodialysis)(1) | labetalol(1),ceftriaxone:risk_modifying_therapy | ferric gluconate:disease_directed_therapy | heparin (hemodialysis):risk_modifying_therapy | labetalol:risk_modifying_therapy,候选证据充分,单专科住院共现可作为真实世界候选证据，不代表治疗因果或临床指南推荐,已优先保留疾病直接治疗或风险控制药物，支持/通用药物移入低优先级
肾内/泌尿,Acute kidney failure with tubular necrosis,primary_specialty_disease,ceftriaxone | tramadol (ultram) | calcium carbonate,ceftriaxone | tramadol (ultram),tacrolimus | acetaminophen | oxycodone (immediate release) | ibuprofen | phosphorus,single_specialty_cooccurrence,ceftriaxone(4) | tramadol (ultram)(2) | calcium carbonate(1),ceftriaxone:risk_modifying_therapy | tramadol (ultram):disease_directed_therapy | calcium carbonate:disease_directed_therapy,候选证据充分,单专科住院共现可作为真实世界候选证据，不代表治疗因果或临床指南推荐,已优先保留疾病直接治疗或风险控制药物，支持/通用药物移入低优先级
肾内/泌尿,"Acute kidney failure, unspecified",primary_specialty_disease,calcium carbonate | tamsulosin | ceftriaxone | labetalol | nifedipine (extended release),calcium carbonate | tamsulosin,acetaminophen | heparin | oxycodone (immediate release) | docusate sodium | ondansetron,single_specialty_cooccurrence,calcium carbonate(54) | tamsulosin(44) | ceftriaxone(40) | labetalol(35) | nifedipine (extended release)(25),calcium carbonate:disease_directed_therapy | tamsulosin:disease_directed_therapy | ceftriaxone:risk_modifying_therapy | labetalol:risk_modifying_therapy | nifedipine (extended release):disease_directed_therapy,候选证据充分,单专科住院共现可作为真实世界候选证据，不代表治疗因果或临床指南推荐,已优先保留疾病直接治疗或风险控制药物，支持/通用药物移入低优先级
肾内/泌尿,Acute prostatitis,primary_specialty_disease,neutra-phos | tamsulosin | ceftriaxone | lidocaine jelly 2% (glydo),neutra-phos | tamsulosin,phenazopyridine | acetaminophen | cefepime | influenza vaccine quadrivalent | azithromycin,single_specialty_cooccurrence,neutra-phos(2) | tamsulosin(2) | ceftriaxone(1) | lidocaine jelly 2% (glydo)(1),neutra-phos:disease_directed_therapy | tamsulosin:disease_directed_therapy | ceftriaxone:risk_modifying_therapy | lidocaine jelly 2% (glydo):disease_directed_therapy,候选证据充分,单专科住院共现可作为真实世界候选证据，不代表治疗因果或临床指南推荐,已优先保留疾病直接治疗或风险控制药物，支持/通用药物移入低优先级
肾内/泌尿,Acute pyelonephritis,primary_specialty_disease,ceftriaxone | tramadol | neutra-phos | tamsulosin | calcium carbonate,ceftriaxone | tramadol,acetaminophen | oxycodone (immediate release) | ondansetron | senna | heparin,single_specialty_cooccurrence,ceftriaxone(25) | tramadol(4) | neutra-phos(3) | tamsulosin(3) | calcium carbonate(2),ceftriaxone:risk_modifying_therapy | tramadol:disease_directed_therapy | neutra-phos:disease_directed_therapy | tamsulosin:disease_directed_therapy | calcium carbonate:disease_directed_therapy,候选证据充分,单专科住院共现可作为真实世界候选证据，不代表治疗因果或临床指南推荐,已优先保留疾病直接治疗或风险控制药物，支持/通用药物移入低优先级
肾内/泌尿,Atrophy of kidney (terminal),primary_specialty_disease,calcium carbonate | lidocaine jelly 2% (urojet) | ceftriaxone | gentamicin | tamsulosin,calcium carbonate | lidocaine jelly 2% (urojet),acetaminophen | oxycodone (immediate release) | docusate sodium | hydromorphone (dilaudid) | ondansetron,single_specialty_cooccurrence,calcium carbonate(3) | lidocaine jelly 2% (urojet)(2) | ceftriaxone(1) | gentamicin(1) | tamsulosin(1),calcium carbonate:disease_directed_therapy | lidocaine jelly 2% (urojet):disease_directed_therapy | ceftriaxone:risk_modifying_therapy | gentamicin:risk_modifying_therapy | tamsulosin:disease_directed_therapy,候选证据充分,单专科住院共现可作为真实世界候选证据，不代表治疗因果或临床指南推荐,已优先保留疾病直接治疗或风险控制药物，支持/通用药物移入低优先级
